strain,1,2,3,4,5,6,7,8,9,10,11,12
A,GFC0155,GFC0156,NA,GFC0158,GFC0159,GFC0160,NA,GFC0162,GFC0163,GFC0164,GFC0165,NA
B,GFC0155,GFC0156,GFC0157,GFC0158,GFC0159,GFC0160,NA,GFC0162,GFC0163,GFC0164,GFC0165,NA
C,GFC0155,GFC0156,NA,GFC0158,GFC0159,GFC0160,NA,GFC0162,GFC0163,GFC0164,GFC0165,NA
D,GFC0155,GFC0156,GFC0157,GFC0158,GFC0159,GFC0160,NA,GFC0162,GFC0163,GFC0164,GFC0165,NA
E,GFC0167,GFC0200,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
F,GFC0167,GFC0200,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
G,GFC0167,GFC0200,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,GFC0167,GFC0200,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,
aTc,1,2,3,4,5,6,7,8,9,10,11,12
A,100,100,100,100,100,100,100,100,100,100,100,100
B,0,0,0,0,0,0,0,0,0,0,0,0
C,100,100,100,100,100,100,100,100,100,100,100,100
D,0,0,0,0,0,0,0,0,0,0,0,0
E,100,100,100,100,100,100,100,100,100,100,100,100
F,0,0,0,0,0,0,0,0,0,0,0,0
G,100,100,100,100,100,100,100,100,100,100,100,100
H,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
antisigma,1,2,3,4,5,6,7,8,9,10,11,12
A,AS14_1324,AS15_436,NA,AS17_1691,AS20_992,AS22_4450,NA,AS27_4265,AS28_1088,AS31_34,AS34_1384,AS37_2513
B,AS14_1324,AS15_436,AS16_3622,AS17_1691,AS20_992,AS22_4450,NA,AS27_4265,AS28_1088,AS31_34,AS34_1384,AS37_2513
C,AS14_1324,AS15_436,NA,AS17_1691,AS20_992,AS22_4450,NA,AS27_4265,AS28_1088,AS31_34,AS34_1384,AS37_2513
D,AS14_1324,AS15_436,AS16_3622,AS17_1691,AS20_992,AS22_4450,NA,AS27_4265,AS28_1088,AS31_34,AS34_1384,AS37_2513
E,AS38_1322,Ptet-lux,none,none,none,none,none,none,none,none,none,none
F,AS38_1322,Ptet-lux,none,none,none,none,none,none,none,none,none,none
G,AS38_1322,Ptet-lux,none,none,none,none,none,none,none,none,none,none
H,AS38_1322,Ptet-lux,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
copies,1,2,3,4,5,6,7,8,9,10,11,12
A,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc
B,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc
C,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc
D,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc
E,mc,mc,none,none,none,none,none,none,none,none,none,none
F,mc,mc,none,none,none,none,none,none,none,none,none,none
G,mc,mc,none,none,none,none,none,none,none,none,none,none
H,mc,mc,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
tox,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,0,0,0,0,0,0,0,0,0,0
F,1,1,0,0,0,0,0,0,0,0,0,0
G,1,1,0,0,0,0,0,0,0,0,0,0
H,1,1,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
rep,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,2,2,2,2,2,2,2,2,2,2,2,2
D,2,2,2,2,2,2,2,2,2,2,2,2
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,2,2,2,2,2,2,2,2,2,2,2,2
H,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,
arabinose,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0
