strain,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,GFC0237,GFC0238,GFC0239,GFC0240,GFC0241,GFC0242,GFC0243,GFC0244,GFC0245,GFC0246,GFC0247
B,GFC0236,GFC0237,GFC0238,GFC0239,GFC0240,GFC0241,GFC0242,GFC0243,GFC0244,GFC0245,GFC0246,GFC0247
C,GFC0236,GFC0237,GFC0238,GFC0239,GFC0240,GFC0241,GFC0242,GFC0243,GFC0244,GFC0245,GFC0246,GFC0247
D,GFC0236,GFC0237,GFC0238,GFC0239,GFC0240,GFC0241,GFC0242,GFC0243,GFC0244,GFC0245,GFC0246,GFC0247
E,GFC0248,GFC0249,GFC0250,GFC0251,GFC0252,GFC0253,GFC0254,GFC0255,GFC0256,GFC0257,GFC0258,GFC0310
F,GFC0248,GFC0249,GFC0250,GFC0251,GFC0252,GFC0253,GFC0254,GFC0255,GFC0256,GFC0257,GFC0258,GFC0310
G,GFC0248,GFC0249,GFC0250,GFC0251,GFC0252,GFC0253,GFC0254,GFC0255,GFC0256,GFC0257,GFC0258,GFC0310
H,GFC0248,GFC0249,GFC0250,GFC0251,GFC0252,GFC0253,GFC0254,GFC0255,GFC0256,GFC0257,GFC0258,GFC0310
,,,,,,,,,,,,
aTc,1,2,3,4,5,6,7,8,9,10,11,12
A,100,100,100,100,100,100,100,100,100,100,100,100
B,100,100,100,100,100,100,100,100,100,100,100,100
C,100,100,100,100,100,100,100,100,100,100,100,100
D,100,100,100,100,100,100,100,100,100,100,100,100
E,100,100,100,100,100,100,100,100,100,100,100,100
F,100,100,100,100,100,100,100,100,100,100,100,100
G,100,100,100,100,100,100,100,100,100,100,100,100
H,100,100,100,100,100,100,100,100,100,100,100,100
,,,,,,,,,,,,
antisigma,1,2,3,4,5,6,7,8,9,10,11,12
A,AS11_t2,AS14_t1,AS14_t2,AS15,AS16,AS17_t1,AS17_t2,AS20_t1,AS20_t2,AS22_t,AS26_t1,AS26_t2
B,AS11_t2,AS14_t1,AS14_t2,AS15,AS16,AS17_t1,AS17_t2,AS20_t1,AS20_t2,AS22_t,AS26_t1,AS26_t2
C,AS11_t2,AS14_t1,AS14_t2,AS15,AS16,AS17_t1,AS17_t2,AS20_t1,AS20_t2,AS22_t,AS26_t1,AS26_t2
