strain,1,2,3,4,5,6,7,8,9,10,11,12
A,GFC0161,GFC0166,GFC0186,GFC0193,GFC0196,GFC0197,GFC0198,GFC0200,GFC0310,blank,blank,blank
B,GFC0161,GFC0166,GFC0186,GFC0193,GFC0196,GFC0197,GFC0198,GFC0200,GFC0310,blank,blank,blank
C,GFC0161,GFC0166,GFC0186,GFC0193,GFC0196,GFC0197,GFC0198,GFC0200,GFC0310,blank,blank,blank
D,GFC0161,GFC0166,GFC0186,GFC0193,GFC0196,GFC0197,GFC0198,GFC0200,GFC0310,blank,blank,blank
E,GFC0161,GFC0166,GFC0186,GFC0193,GFC0196,GFC0197,GFC0198,GFC0200,GFC0310,blank,blank,blank
F,GFC0161,GFC0166,GFC0186,GFC0193,GFC0196,GFC0197,GFC0198,GFC0200,GFC0310,blank,blank,blank
G,GFC0161,GFC0166,GFC0186,GFC0193,GFC0196,GFC0197,GFC0198,GFC0200,GFC0310,blank,blank,blank
H,GFC0161,GFC0166,GFC0186,GFC0193,GFC0196,GFC0197,GFC0198,GFC0200,GFC0310,blank,blank,blank
,,,,,,,,,,,,
aTc,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,100,100,100,100,100,100,100,100,100,100,100,100
C,0,0,0,0,0,0,0,0,0,0,0,0
D,100,100,100,100,100,100,100,100,100,100,100,100
E,0,0,0,0,0,0,0,0,0,0,0,0
F,100,100,100,100,100,100,100,100,100,100,100,100
G,0,0,0,0,0,0,0,0,0,0,0,0
H,100,100,100,100,100,100,100,100,100,100,100,100
,,,,,,,,,,,,
antisigma,1,2,3,4,5,6,7,8,9,10,11,12
A,AS26_4464,AS37_2513,AS26_t1,AS31_t1,AS37_t1,AS37_t2,AS38_t,Ptet-lux,Ptet-lux,none,none,none
B,AS26_4464,AS37_2513,AS26_t1,AS31_t1,AS37_t1,AS37_t2,AS38_t,Ptet-lux,Ptet-lux,none,none,none
C,AS26_4464,AS37_2513,AS26_t1,AS31_t1,AS37_t1,AS37_t2,AS38_t,Ptet-lux,Ptet-lux,none,none,none
D,AS26_4464,AS37_2513,AS26_t1,AS31_t1,AS37_t1,AS37_t2,AS38_t,Ptet-lux,Ptet-lux,none,none,none
E,AS26_4464,AS37_2513,AS26_t1,AS31_t1,AS37_t1,AS37_t2,AS38_t,Ptet-lux,Ptet-lux,none,none,none
F,AS26_4464,AS37_2513,AS26_t1,AS31_t1,AS37_t1,AS37_t2,AS38_t,Ptet-lux,Ptet-lux,none,none,none
G,AS26_4464,AS37_2513,AS26_t1,AS31_t1,AS37_t1,AS37_t2,AS38_t,Ptet-lux,Ptet-lux,none,none,none
H,AS26_4464,AS37_2513,AS26_t1,AS31_t1,AS37_t1,AS37_t2,AS38_t,Ptet-lux,Ptet-lux,none,none,none
,,,,,,,,,,,,
copies,1,2,3,4,5,6,7,8,9,10,11,12
A,mc,mc,mc,mc,mc,mc,mc,mc,chrint,none,none,none
B,mc,mc,mc,mc,mc,mc,mc,mc,chrint,none,none,none
C,mc,mc,mc,mc,mc,mc,mc,mc,chrint,none,none,none
D,mc,mc,mc,mc,mc,mc,mc,mc,chrint,none,none,none
E,mc,mc,mc,mc,mc,mc,mc,mc,chrint,none,none,none
F,mc,mc,mc,mc,mc,mc,mc,mc,chrint,none,none,none
G,mc,mc,mc,mc,mc,mc,mc,mc,chrint,none,none,none
H,mc,mc,mc,mc,mc,mc,mc,mc,chrint,none,none,none
,,,,,,,,,,,,
tox,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,2.1,2.1,2.1,2.2,2.1,2,3,0,0,0
B,1,1,2.1,2.1,2.1,2.2,2.1,2,3,0,0,0
C,1,1,2.1,2.1,2.1,2.2,2.1,2,3,0,0,0
D,1,1,2.1,2.1,2.1,2.2,2.1,2,3,0,0,0
E,1,1,2.1,2.1,2.1,2.2,2.1,2,3,0,0,0
F,1,1,2.1,2.1,2.1,2.2,2.1,2,3,0,0,0
G,1,1,2.1,2.1,2.1,2.2,2.1,2,3,0,0,0
H,1,1,2.1,2.1,2.1,2.2,2.1,2,3,0,0,0
,,,,,,,,,,,,
rep,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,2,2,2,2,2,2,2,2,2,2,2,2
D,2,2,2,2,2,2,2,2,2,2,2,2
E,3,3,3,3,3,3,3,3,3,3,3,3
F,3,3,3,3,3,3,3,3,3,3,3,3
G,4,4,4,4,4,4,4,4,4,4,4,4
H,4,4,4,4,4,4,4,4,4,4,4,4
,,,,,,,,,,,,
arabinose,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0
