strain,1,2,3,4,5,6,7,8,9,10,11,12
A,GFC0220,GFC0220,GFC0220,GFC0220,GFC0221,GFC0221,GFC0221,GFC0221,GFC0222,GFC0222,GFC0222,GFC0222
B,GFC0220,GFC0220,GFC0220,GFC0220,GFC0221,GFC0221,GFC0221,GFC0221,GFC0222,GFC0222,GFC0222,GFC0222
C,GFC0220,GFC0220,GFC0220,GFC0220,GFC0221,GFC0221,GFC0221,GFC0221,GFC0222,GFC0222,GFC0222,GFC0222
D,GFC0220,GFC0220,GFC0220,GFC0220,GFC0221,GFC0221,GFC0221,GFC0221,GFC0222,GFC0222,GFC0222,GFC0222
E,GFC0220,GFC0220,GFC0220,GFC0220,GFC0221,GFC0221,GFC0221,GFC0221,GFC0222,GFC0222,GFC0222,GFC0222
F,GFC0220,GFC0220,GFC0220,GFC0220,GFC0221,GFC0221,GFC0221,GFC0221,GFC0222,GFC0222,GFC0222,GFC0222
G,GFC0220,GFC0220,GFC0220,GFC0220,GFC0221,GFC0221,GFC0221,GFC0221,GFC0222,GFC0222,GFC0222,GFC0222
H,GFC0220,GFC0220,GFC0220,GFC0220,GFC0221,GFC0221,GFC0221,GFC0221,GFC0222,GFC0222,GFC0222,GFC0222
,,,,,,,,,,,,
antisigma,1,2,3,4,5,6,7,8,9,10,11,12
A,AS11_987,AS11_987,AS11_987,AS11_987,AS11_t1,AS11_t1,AS11_t1,AS11_t1,AS11_t2,AS11_t2,AS11_t2,AS11_t2
B,AS11_987,AS11_987,AS11_987,AS11_987,AS11_t1,AS11_t1,AS11_t1,AS11_t1,AS11_t2,AS11_t2,AS11_t2,AS11_t2
C,AS11_987,AS11_987,AS11_987,AS11_987,AS11_t1,AS11_t1,AS11_t1,AS11_t1,AS11_t2,AS11_t2,AS11_t2,AS11_t2
D,AS11_987,AS11_987,AS11_987,AS11_987,AS11_t1,AS11_t1,AS11_t1,AS11_t1,AS11_t2,AS11_t2,AS11_t2,AS11_t2
E,AS11_987,AS11_987,AS11_987,AS11_987,AS11_t1,AS11_t1,AS11_t1,AS11_t1,AS11_t2,AS11_t2,AS11_t2,AS11_t2
F,AS11_987,AS11_987,AS11_987,AS11_987,AS11_t1,AS11_t1,AS11_t1,AS11_t1,AS11_t2,AS11_t2,AS11_t2,AS11_t2
G,AS11_987,AS11_987,AS11_987,AS11_987,AS11_t1,AS11_t1,AS11_t1,AS11_t1,AS11_t2,AS11_t2,AS11_t2,AS11_t2
H,AS11_987,AS11_987,AS11_987,AS11_987,AS11_t1,AS11_t1,AS11_t1,AS11_t1,AS11_t2,AS11_t2,AS11_t2,AS11_t2
,,,,,,,,,,,,
aTc,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,100,100,100,100,100,100,100,100,100,100,100,100
C,0,0,0,0,0,0,0,0,0,0,0,0
D,100,100,100,100,100,100,100,100,100,100,100,100
E,0,0,0,0,0,0,0,0,0,0,0,0
F,100,100,100,100,100,100,100,100,100,100,100,100
G,0,0,0,0,0,0,0,0,0,0,0,0
H,100,100,100,100,100,100,100,100,100,100,100,100
,,,,,,,,,,,,
rep,1,2,3,4,5,6,7,8,9,10,11,12
A,1,2,3,4,1,2,3,4,1,2,3,4
B,1,2,3,4,1,2,3,4,1,2,3,4
C,5,6,7,8,5,6,7,8,5,6,7,8
D,5,6,7,8,5,6,7,8,5,6,7,8
E,9,10,11,12,9,10,11,12,9,10,11,12
F,9,10,11,12,9,10,11,12,9,10,11,12
G,13,14,15,16,13,14,15,16,13,14,15,16
H,13,14,15,16,13,14,15,16,13,14,15,16
,,,,,,,,,,,,
copies,1,2,3,4,5,6,7,8,9,10,11,12
A,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc
B,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc
C,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc
D,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc
E,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc
F,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc
G,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc
H,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc
,,,,,,,,,,,,
tox,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.2
B,1,1,1,1,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.2
C,1,1,1,1,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.2
D,1,1,1,1,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.2
E,1,1,1,1,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.2
F,1,1,1,1,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.2
G,1,1,1,1,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.2
H,1,1,1,1,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.2
,,,,,,,,,,,,
arabinose,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0
