strain,1,2,3,4,5,6,7,8,9,10,11,12
A,SV01,SV01,SV01,SV01,GFC0200,GFC0200,GFC0200,GFC0200,GFC0235,GFC0235,GFC0235,GFC0235
B,SV01,SV01,SV01,SV01,GFC0200,GFC0200,GFC0200,GFC0200,GFC0235,GFC0235,GFC0235,GFC0235
C,SV01,SV01,SV01,SV01,GFC0200,GFC0200,GFC0200,GFC0200,GFC0235,GFC0235,GFC0235,GFC0235
D,SV01,SV01,SV01,SV01,GFC0200,GFC0200,GFC0200,GFC0200,GFC0235,GFC0235,GFC0235,GFC0235
E,SV01,SV01,SV01,SV01,GFC0200,GFC0200,GFC0200,GFC0200,GFC0235,GFC0235,GFC0235,GFC0235
F,SV01,SV01,SV01,SV01,GFC0200,GFC0200,GFC0200,GFC0200,GFC0235,GFC0235,GFC0235,GFC0235
G,SV01,SV01,SV01,SV01,GFC0200,GFC0200,GFC0200,GFC0200,GFC0235,GFC0235,GFC0235,GFC0235
H,SV01,SV01,SV01,SV01,GFC0200,GFC0200,GFC0200,GFC0200,GFC0235,GFC0235,GFC0235,GFC0235
,,,,,,,,,,,,
antisigma,1,2,3,4,5,6,7,8,9,10,11,12
A,wildtype,wildtype,wildtype,wildtype,Ptet-lux,Ptet-lux,Ptet-lux,Ptet-lux,AS11_t1,AS11_t1,AS11_t1,AS11_t1
B,wildtype,wildtype,wildtype,wildtype,Ptet-lux,Ptet-lux,Ptet-lux,Ptet-lux,AS11_t1,AS11_t1,AS11_t1,AS11_t1
C,wildtype,wildtype,wildtype,wildtype,Ptet-lux,Ptet-lux,Ptet-lux,Ptet-lux,AS11_t1,AS11_t1,AS11_t1,AS11_t1
D,wildtype,wildtype,wildtype,wildtype,Ptet-lux,Ptet-lux,Ptet-lux,Ptet-lux,AS11_t1,AS11_t1,AS11_t1,AS11_t1
E,wildtype,wildtype,wildtype,wildtype,Ptet-lux,Ptet-lux,Ptet-lux,Ptet-lux,AS11_t1,AS11_t1,AS11_t1,AS11_t1
F,wildtype,wildtype,wildtype,wildtype,Ptet-lux,Ptet-lux,Ptet-lux,Ptet-lux,AS11_t1,AS11_t1,AS11_t1,AS11_t1
G,wildtype,wildtype,wildtype,wildtype,Ptet-lux,Ptet-lux,Ptet-lux,Ptet-lux,AS11_t1,AS11_t1,AS11_t1,AS11_t1
H,wildtype,wildtype,wildtype,wildtype,Ptet-lux,Ptet-lux,Ptet-lux,Ptet-lux,AS11_t1,AS11_t1,AS11_t1,AS11_t1
,,,,,,,,,,,,
aTc,1,2,3,4,5,6,7,8,9,10,11,12
A,100,100,100,100,100,100,100,100,100,100,100,100
B,0,0,0,0,0,0,0,0,0,0,0,0
C,100,100,100,100,100,100,100,100,100,100,100,100
D,0,0,0,0,0,0,0,0,0,0,0,0
E,100,100,100,100,100,100,100,100,100,100,100,100
F,0,0,0,0,0,0,0,0,0,0,0,0
G,100,100,100,100,100,100,100,100,100,100,100,100
H,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
rep,1,2,3,4,5,6,7,8,9,10,11,12
A,1,2,3,4,1,2,3,4,1,2,3,4
B,1,2,3,4,1,2,3,4,1,2,3,4
C,5,6,7,8,5,6,7,8,5,6,7,8
D,5,6,7,8,5,6,7,8,5,6,7,8
E,9,10,11,12,9,10,11,12,9,10,11,12
F,9,10,11,12,9,10,11,12,9,10,11,12
G,13,14,15,16,13,14,15,16,13,14,15,16
H,13,14,15,16,13,14,15,16,13,14,15,16
,,,,,,,,,,,,
copies,1,2,3,4,5,6,7,8,9,10,11,12
A,mc,mc,mc,mc,mc,mc,mc,mc,chrint,chrint,chrint,chrint
B,mc,mc,mc,mc,mc,mc,mc,mc,chrint,chrint,chrint,chrint
C,mc,mc,mc,mc,mc,mc,mc,mc,chrint,chrint,chrint,chrint
D,mc,mc,mc,mc,mc,mc,mc,mc,chrint,chrint,chrint,chrint
E,mc,mc,mc,mc,mc,mc,mc,mc,chrint,chrint,chrint,chrint
F,mc,mc,mc,mc,mc,mc,mc,mc,chrint,chrint,chrint,chrint
G,mc,mc,mc,mc,mc,mc,mc,mc,chrint,chrint,chrint,chrint
H,mc,mc,mc,mc,mc,mc,mc,mc,chrint,chrint,chrint,chrint
,,,,,,,,,,,,
tox,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,1,1,1,1,3.1,3.1,3.1,3.1
B,0,0,0,0,1,1,1,1,3.1,3.1,3.1,3.1
C,0,0,0,0,1,1,1,1,3.1,3.1,3.1,3.1
D,0,0,0,0,1,1,1,1,3.1,3.1,3.1,3.1
E,0,0,0,0,1,1,1,1,3.1,3.1,3.1,3.1
F,0,0,0,0,1,1,1,1,3.1,3.1,3.1,3.1
G,0,0,0,0,1,1,1,1,3.1,3.1,3.1,3.1
H,0,0,0,0,1,1,1,1,3.1,3.1,3.1,3.1
,,,,,,,,,,,,
arabinose,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0
