strain,1,2,3,4,5,6,7,8,9,10,11,12
A,GFC0155,GFC0156,GFC0157,GFC0158,GFC0159,GFC0160,GFC0161,GFC0162,GFC0163,GFC0164,GFC0165,GFC0166
B,GFC0155,GFC0156,GFC0157,GFC0158,GFC0159,GFC0160,GFC0161,GFC0162,GFC0163,GFC0164,GFC0165,GFC0166
C,GFC0155,GFC0156,GFC0157,GFC0158,GFC0159,GFC0160,GFC0161,GFC0162,GFC0163,GFC0164,GFC0165,GFC0166
D,GFC0155,GFC0156,GFC0157,GFC0158,GFC0159,GFC0160,GFC0161,GFC0162,GFC0163,GFC0164,GFC0165,GFC0166
E,GFC0167,GFC0220,SV01,SV01,blank,blank,blank,blank,blank,blank,blank,blank
F,GFC0167,GFC0220,SV01,SV01,blank,blank,blank,blank,blank,blank,blank,blank
G,GFC0167,GFC0220,SV01,SV01,blank,blank,blank,blank,blank,blank,blank,blank
H,GFC0167,GFC0220,SV01,SV01,blank,blank,blank,blank,blank,blank,blank,blank
,,,,,,,,,,,,
arabinose,1,2,3,4,5,6,7,8,9,10,11,12
A,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
B,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
C,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
D,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
E,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
F,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
G,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
H,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
,,,,,,,,,,,,
antisigma,1,2,3,4,5,6,7,8,9,10,11,12
A,AS14_1324,AS15_436,AS16_3622,AS17_1691,AS20_992,AS22_4450,AS26_4464,AS27_4265,AS28_1088,AS31_34,AS34_1384,AS37_2513
B,AS14_1324,AS15_436,AS16_3622,AS17_1691,AS20_992,AS22_4450,AS26_4464,AS27_4265,AS28_1088,AS31_34,AS34_1384,AS37_2513
C,AS14_1324,AS15_436,AS16_3622,AS17_1691,AS20_992,AS22_4450,AS26_4464,AS27_4265,AS28_1088,AS31_34,AS34_1384,AS37_2513
D,AS14_1324,AS15_436,AS16_3622,AS17_1691,AS20_992,AS22_4450,AS26_4464,AS27_4265,AS28_1088,AS31_34,AS34_1384,AS37_2513
E,AS38_1322,AS11_987,wildtype,wildtype,blank,blank,blank,blank,blank,blank,blank,blank
F,AS38_1322,AS11_987,wildtype,wildtype,blank,blank,blank,blank,blank,blank,blank,blank
G,AS38_1322,AS11_987,wildtype,wildtype,blank,blank,blank,blank,blank,blank,blank,blank
H,AS38_1322,AS11_987,wildtype,wildtype,blank,blank,blank,blank,blank,blank,blank,blank
,,,,,,,,,,,,
aTc,1,2,3,4,5,6,7,8,9,10,11,12
A,100,100,100,100,100,100,100,100,100,100,100,100
B,0,0,0,0,0,0,0,0,0,0,0,0
C,100,100,100,100,100,100,100,100,100,100,100,100
D,0,0,0,0,0,0,0,0,0,0,0,0
E,100,100,100,100,100,100,100,100,100,100,100,100
F,0,0,0,0,0,0,0,0,0,0,0,0
G,100,100,100,100,100,100,100,100,100,100,100,100
H,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
rep,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,2,2,2,2,2,2,2,2,2,2,2,2
D,2,2,2,2,2,2,2,2,2,2,2,2
E,1,1,1,3,1,1,1,1,1,1,1,1
F,1,1,1,3,1,1,1,1,1,1,1,1
G,2,2,2,4,2,2,2,2,2,2,2,2
H,2,2,2,4,2,2,2,2,2,2,2,2
,,,,,,,,,,,,
copies,1,2,3,4,5,6,7,8,9,10,11,12
A,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc
B,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc
C,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc
D,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc
E,mc,mc,mc,mc,none,none,none,none,none,none,none,none
F,mc,mc,mc,mc,none,none,none,none,none,none,none,none
G,mc,mc,mc,mc,none,none,none,none,none,none,none,none
H,mc,mc,mc,mc,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
tox,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,0,0,0,0,0,0,0,0,0,0
F,1,1,0,0,0,0,0,0,0,0,0,0
G,1,1,0,0,0,0,0,0,0,0,0,0
H,1,1,0,0,0,0,0,0,0,0,0,0
