strain,1,2,3,4,5,6,7,8,9,10,11,12
A,GFC0235,GFC0236,GFC0237,GFC0238,GFC0239,GFC0240,GFC0241,GFC0242,GFC0243,GFC0244,GFC0245,GFC0246
B,GFC0235,GFC0236,GFC0237,GFC0238,GFC0239,GFC0240,GFC0241,GFC0242,GFC0243,GFC0244,GFC0245,GFC0246
C,GFC0235,GFC0236,GFC0237,GFC0238,GFC0239,GFC0240,GFC0241,GFC0242,GFC0243,GFC0244,GFC0245,GFC0246
D,GFC0235,GFC0236,GFC0237,GFC0238,GFC0239,GFC0240,GFC0241,GFC0242,GFC0243,GFC0244,GFC0245,GFC0246
E,GFC0247,GFC0248,GFC0249,GFC0250,GFC0251,GFC0252,GFC0253,GFC0254,GFC0255,GFC0256,GFC0257,GFC0258
F,GFC0247,GFC0248,GFC0249,GFC0250,GFC0251,GFC0252,GFC0253,GFC0254,GFC0255,GFC0256,GFC0257,GFC0258
G,GFC0247,GFC0248,GFC0249,GFC0250,GFC0251,GFC0252,GFC0253,GFC0254,GFC0255,GFC0256,GFC0257,GFC0258
H,GFC0247,GFC0248,GFC0249,GFC0250,GFC0251,GFC0252,GFC0253,GFC0254,GFC0255,GFC0256,GFC0257,GFC0258
,,,,,,,,,,,,
arabinose,1,2,3,4,5,6,7,8,9,10,11,12
A,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
B,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
C,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
D,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
E,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
F,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
G,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
H,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
,,,,,,,,,,,,
antisigma,1,2,3,4,5,6,7,8,9,10,11,12
A,AS11_t1,AS11_t2,AS14_t1,AS14_t2,AS15,AS16,AS17_t1,AS17_t2,AS20_t1,AS20_t2,AS22_t,AS26_t1
B,AS11_t1,AS11_t2,AS14_t1,AS14_t2,AS15,AS16,AS17_t1,AS17_t2,AS20_t1,AS20_t2,AS22_t,AS26_t1
C,AS11_t1,AS11_t2,AS14_t1,AS14_t2,AS15,AS16,AS17_t1,AS17_t2,AS20_t1,AS20_t2,AS22_t,AS26_t1
D,AS11_t1,AS11_t2,AS14_t1,AS14_t2,AS15,AS16,AS17_t1,AS17_t2,AS20_t1,AS20_t2,AS22_t,AS26_t1
E,AS26_t2,AS27_t1,AS27_t2,AS28_t1,AS28_t2,AS31_t1,AS31_t2,AS34_t1,AS34_t2,AS37_t1,AS37_t2,AS38_t
F,AS26_t2,AS27_t1,AS27_t2,AS28_t1,AS28_t2,AS31_t1,AS31_t2,AS34_t1,AS34_t2,AS37_t1,AS37_t2,AS38_t
G,AS26_t2,AS27_t1,AS27_t2,AS28_t1,AS28_t2,AS31_t1,AS31_t2,AS34_t1,AS34_t2,AS37_t1,AS37_t2,AS38_t
H,AS26_t2,AS27_t1,AS27_t2,AS28_t1,AS28_t2,AS31_t1,AS31_t2,AS34_t1,AS34_t2,AS37_t1,AS37_t2,AS38_t
,,,,,,,,,,,,
aTc,1,2,3,4,5,6,7,8,9,10,11,12
A,100,100,100,100,100,100,100,100,100,100,100,100
B,0,0,0,0,0,0,0,0,0,0,0,0
C,100,100,100,100,100,100,100,100,100,100,100,100
D,0,0,0,0,0,0,0,0,0,0,0,0
E,100,100,100,100,100,100,100,100,100,100,100,100
F,0,0,0,0,0,0,0,0,0,0,0,0
G,100,100,100,100,100,100,100,100,100,100,100,100
H,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
rep,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,2,2,2,2,2,2,2,2,2,2,2,2
D,2,2,2,2,2,2,2,2,2,2,2,2
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,2,2,2,2,2,2,2,2,2,2,2,2
H,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,
copies,1,2,3,4,5,6,7,8,9,10,11,12
A,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint
B,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint
C,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint
D,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint
E,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint
F,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint
G,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint
H,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint
,,,,,,,,,,,,
tox,1,2,3,4,5,6,7,8,9,10,11,12
A,3.1,3.2,3.1,3.2,3.1,3.1,3.1,3.2,3.1,3.2,3.1,3.1
B,3.1,3.2,3.1,3.2,3.1,3.1,3.1,3.2,3.1,3.2,3.1,3.1
C,3.1,3.2,3.1,3.2,3.1,3.1,3.1,3.2,3.1,3.2,3.1,3.1
D,3.1,3.2,3.1,3.2,3.1,3.1,3.1,3.2,3.1,3.2,3.1,3.1
E,3.2,3.1,3.2,3.1,3.2,3.1,3.2,3.1,3.2,3.1,3.2,3.1
F,3.2,3.1,3.2,3.1,3.2,3.1,3.2,3.1,3.2,3.1,3.2,3.1
G,3.2,3.1,3.2,3.1,3.2,3.1,3.2,3.1,3.2,3.1,3.2,3.1
H,3.2,3.1,3.2,3.1,3.2,3.1,3.2,3.1,3.2,3.1,3.2,3.1
