term,group1,group2,estimate,p.adj,p.adj.signif
interaction_var,0.0,100.0,-0.09252296664432846,0,****
interaction_var,0.0,0.5e-06,-0.048547564547604644,0,****
interaction_var,0.0,100.5e-06,-0.12426031628315831,0,****
interaction_var,100.0,0.5e-06,0.04397540209672382,1.78e-15,****
interaction_var,100.0,100.5e-06,-0.03173734963882985,5.92e-10,****
interaction_var,0.5e-06,100.5e-06,-0.07571275173555367,0,****
strain,GFC0155,GFC0156,-0.008337197696541815,1,ns
strain,GFC0155,GFC0157,-0.07937050088662466,1.44e-11,****
strain,GFC0155,GFC0158,0.04771425463972856,1.78e-4,***
strain,GFC0155,GFC0159,-0.005699019554131601,1,ns
strain,GFC0155,GFC0160,-0.041168653848004944,0.00305,**
strain,GFC0155,GFC0161,-0.06039623026937871,9.93e-8,****
strain,GFC0155,GFC0162,0.03390418021990654,0.0424,*
strain,GFC0155,GFC0163,0.04737288266326853,2.08e-4,***
strain,GFC0155,GFC0164,-0.06651535903218342,7.84e-9,****
strain,GFC0155,GFC0165,0.05231288212515861,1.93e-5,****
strain,GFC0155,GFC0166,0.03256890770946441,0.064,ns
strain,GFC0155,GFC0167,-0.026949074339668005,0.272,ns
strain,GFC0155,GFC0220,-0.026139362574500058,0.0941,ns
strain,GFC0155,SV01,0.06595703818336757,3.63e-12,****
strain,GFC0156,GFC0157,-0.07103330319008284,2.21e-9,****
strain,GFC0156,GFC0158,0.056051452336270374,2.81e-6,****
strain,GFC0156,GFC0159,0.0026381781424102135,1,ns
strain,GFC0156,GFC0160,-0.03283145615146313,0.0592,ns
strain,GFC0156,GFC0161,-0.052059032572836894,1.02e-5,****
strain,GFC0156,GFC0162,0.04224137791644836,0.00197,**
strain,GFC0156,GFC0163,0.05571008035981034,3.37e-6,****
strain,GFC0156,GFC0164,-0.058178161335641604,9.01e-7,****
strain,GFC0156,GFC0165,0.060650079821700426,2.31e-7,****
strain,GFC0156,GFC0166,0.04090610540600623,0.00339,**
strain,GFC0156,GFC0167,-0.01861187664312619,0.845,ns
strain,GFC0156,GFC0220,-0.017802164877958243,0.675,ns
strain,GFC0156,SV01,0.07429423587990938,1.11e-13,****
strain,GFC0157,GFC0158,0.12708475552635323,0,****
strain,GFC0157,GFC0159,0.07367148133249306,4.64e-10,****
strain,GFC0157,GFC0160,0.038201847038619716,0.0154,*
strain,GFC0157,GFC0161,0.01897427061724595,0.833,ns
strain,GFC0157,GFC0162,0.1132746811065312,2.2e-14,****
strain,GFC0157,GFC0163,0.12674338354989317,0,****
strain,GFC0157,GFC0164,0.01285514185444124,0.995,ns
