term,group1,group2,estimate,p.adj,p.adj.signif
interaction_var,0.0,100.0,-2.7363129617608006e-4,1,ns
interaction_var,0.0,0.5e-06,-0.029608890070499855,5.19e-10,****
interaction_var,0.0,100.5e-06,-0.029817117099174728,4.64e-10,****
interaction_var,100.0,0.5e-06,-0.029335258774323775,6.32e-10,****
interaction_var,100.0,100.5e-06,-0.029543485802998648,5.47e-10,****
interaction_var,0.5e-06,100.5e-06,-2.082270286748733e-4,1,ns
strain,GFC0235,GFC0236,-0.04129306097016022,0.00286,**
strain,GFC0235,GFC0237,-0.045644760239914706,2.51e-4,***
strain,GFC0235,GFC0238,-0.101164799079413,3.07e-10,****
strain,GFC0235,GFC0239,-0.04085963360375977,0.00268,**
strain,GFC0235,GFC0240,-0.04391177044196165,6.12e-4,***
strain,GFC0235,GFC0241,-0.03615693340441195,0.0204,*
strain,GFC0235,GFC0242,-0.03329424130860459,0.0591,ns
strain,GFC0235,GFC0243,-0.023679428494601196,0.635,ns
strain,GFC0235,GFC0244,-0.03143820362088978,0.109,ns
strain,GFC0235,GFC0245,-0.06985078405299258,3.46e-10,****
strain,GFC0235,GFC0246,-0.03885420193657718,0.00835,**
strain,GFC0235,GFC0247,-0.03885518635073559,0.00835,**
strain,GFC0235,GFC0248,-0.05239087105800089,5.66e-6,****
strain,GFC0235,GFC0249,-0.07806280054618756,3.07e-10,****
strain,GFC0235,GFC0250,-0.04836948361316448,8.33e-5,****
strain,GFC0235,GFC0251,-0.05513377949997611,1.06e-6,****
strain,GFC0235,GFC0252,-0.04897029704956546,4.12e-5,****
strain,GFC0235,GFC0253,-0.04153281248609211,0.00196,**
strain,GFC0235,GFC0254,-0.03562067819268128,0.0251,*
strain,GFC0235,GFC0255,-0.03790471346863422,0.00996,**
strain,GFC0235,GFC0256,-0.039426364221039234,0.00515,**
strain,GFC0235,GFC0257,-0.0381388385011977,0.00902,**
strain,GFC0235,GFC0258,-0.03450915559649537,0.0383,*
strain,GFC0235,SV01,-0.029158259953500965,0.0483,*
strain,GFC0236,GFC0237,-0.004351699269754483,1,ns
strain,GFC0236,GFC0238,-0.05987173810925278,9.48e-6,****
strain,GFC0236,GFC0239,4.3342736640045176e-4,1,ns
strain,GFC0236,GFC0240,-0.002618709471801428,1,ns
strain,GFC0236,GFC0241,0.005136127565748272,1,ns
strain,GFC0236,GFC0242,0.007998819661555634,1,ns
strain,GFC0236,GFC0243,0.017613632475559027,0.995,ns
strain,GFC0236,GFC0244,0.00985485734927044,1,ns
strain,GFC0236,GFC0245,-0.02855772308283236,0.534,ns
strain,GFC0236,GFC0246,0.0024388590335830407,1,ns
strain,GFC0236,GFC0247,0.0024378746194246292,1,ns
strain,GFC0236,GFC0248,-0.011097810087840665,1,ns
strain,GFC0236,GFC0249,-0.03676973957602733,0.0919,ns
strain,GFC0236,GFC0250,-0.00707642264300426,1,ns
strain,GFC0236,GFC0251,-0.013840718529815887,1,ns
strain,GFC0236,GFC0252,-0.007677236079405236,1,ns
strain,GFC0236,GFC0253,-2.397515159318908e-4,1,ns
strain,GFC0236,GFC0254,0.005672382777478946,1,ns
strain,GFC0236,GFC0255,0.003388347501526001,1,ns
strain,GFC0236,GFC0256,0.0018666967491209885,1,ns
strain,GFC0236,GFC0257,0.00315422246896252,1,ns
strain,GFC0236,GFC0258,0.006783905373664856,1,ns
strain,GFC0236,SV01,0.012134801016659258,1,ns
strain,GFC0237,GFC0238,-0.0555200388394983,6.05e-5,****
strain,GFC0237,GFC0239,0.004785126636154935,1,ns
strain,GFC0237,GFC0240,0.001732989797953055,1,ns
strain,GFC0237,GFC0241,0.009487826835502755,1,ns
strain,GFC0237,GFC0242,0.012350518931310117,1,ns
strain,GFC0237,GFC0243,0.02196533174531351,0.922,ns
strain,GFC0237,GFC0244,0.014206556619024924,1,ns
strain,GFC0237,GFC0245,-0.024206023813077876,0.82,ns
strain,GFC0237,GFC0246,0.006790558303337524,1,ns
strain,GFC0237,GFC0247,0.006789573889179112,1,ns
strain,GFC0237,GFC0248,-0.006746110818086182,1,ns
strain,GFC0237,GFC0249,-0.03241804030627285,0.25,ns
strain,GFC0237,GFC0250,-0.0027247233732497766,1,ns
strain,GFC0237,GFC0251,-0.009489019260061404,1,ns
strain,GFC0237,GFC0252,-0.003325536809650753,1,ns
strain,GFC0237,GFC0253,0.004111947753822592,1,ns
strain,GFC0237,GFC0254,0.010024082047233429,1,ns
strain,GFC0237,GFC0255,0.007740046771280484,1,ns
strain,GFC0237,GFC0256,0.006218396018875472,1,ns
strain,GFC0237,GFC0257,0.007505921738717003,1,ns
strain,GFC0237,GFC0258,0.011135604643419339,1,ns
strain,GFC0237,SV01,0.01648650028641374,0.989,ns
strain,GFC0238,GFC0239,0.06030516547565323,5.48e-6,****
strain,GFC0238,GFC0240,0.05725302863745135,2.59e-5,****
strain,GFC0238,GFC0241,0.06500786567500105,4.36e-7,****
strain,GFC0238,GFC0242,0.06787055777080842,8.63e-8,****
strain,GFC0238,GFC0243,0.07748537058481181,5.52e-10,****
strain,GFC0238,GFC0244,0.06972659545852322,2.94e-8,****
strain,GFC0238,GFC0245,0.03131401502642042,0.337,ns
strain,GFC0238,GFC0246,0.06231059714283582,2.69e-6,****
strain,GFC0238,GFC0247,0.06230961272867741,2.69e-6,****
strain,GFC0238,GFC0248,0.048773928021412116,0.00128,**
strain,GFC0238,GFC0249,0.02310199853322545,0.888,ns
strain,GFC0238,GFC0250,0.05279531546624852,2.81e-4,***
strain,GFC0238,GFC0251,0.046031019579436894,0.00393,**
strain,GFC0238,GFC0252,0.052194502029847545,2.87e-4,***
strain,GFC0238,GFC0253,0.05963198659332089,7.77e-6,****
strain,GFC0238,GFC0254,0.06554412088673173,3.23e-7,****
strain,GFC0238,GFC0255,0.06326008561077878,1.14e-6,****
strain,GFC0238,GFC0256,0.06173843485837377,2.58e-6,****
strain,GFC0238,GFC0257,0.0630259605782153,1.29e-6,****
strain,GFC0238,GFC0258,0.06665564348291764,1.73e-7,****
strain,GFC0238,SV01,0.07200653912591204,3.47e-10,****
strain,GFC0239,GFC0240,-0.00305213683820188,1,ns
strain,GFC0239,GFC0241,0.00470270019934782,1,ns
strain,GFC0239,GFC0242,0.007565392295155182,1,ns
strain,GFC0239,GFC0243,0.017180205109158575,0.996,ns
strain,GFC0239,GFC0244,0.009421429982869989,1,ns
strain,GFC0239,GFC0245,-0.02899115044923281,0.478,ns
strain,GFC0239,GFC0246,0.002005431667182589,1,ns
strain,GFC0239,GFC0247,0.0020044472530241775,1,ns
strain,GFC0239,GFC0248,-0.011531237454241117,1,ns
strain,GFC0239,GFC0249,-0.037203166942427784,0.0723,ns
strain,GFC0239,GFC0250,-0.007509850009404712,1,ns
strain,GFC0239,GFC0251,-0.01427414589621634,1,ns
strain,GFC0239,GFC0252,-0.008110663445805688,1,ns
strain,GFC0239,GFC0253,-6.731788823323426e-4,1,ns
strain,GFC0239,GFC0254,0.005238955411078494,1,ns
strain,GFC0239,GFC0255,0.0029549201351255494,1,ns
strain,GFC0239,GFC0256,0.0014332693827205367,1,ns
strain,GFC0239,GFC0257,0.002720795102562068,1,ns
strain,GFC0239,GFC0258,0.006350478007264404,1,ns
strain,GFC0239,SV01,0.011701373650258806,1,ns
strain,GFC0240,GFC0241,0.0077548370375497,1,ns
strain,GFC0240,GFC0242,0.010617529133357062,1,ns
strain,GFC0240,GFC0243,0.020232341947360455,0.967,ns
strain,GFC0240,GFC0244,0.012473566821071869,1,ns
strain,GFC0240,GFC0245,-0.02593901361103093,0.708,ns
strain,GFC0240,GFC0246,0.005057568505384469,1,ns
strain,GFC0240,GFC0247,0.005056584091226057,1,ns
strain,GFC0240,GFC0248,-0.008479100616039237,1,ns
strain,GFC0240,GFC0249,-0.034151030104225905,0.166,ns
strain,GFC0240,GFC0250,-0.004457713171202832,1,ns
strain,GFC0240,GFC0251,-0.01122200905801446,1,ns
strain,GFC0240,GFC0252,-0.005058526607603808,1,ns
strain,GFC0240,GFC0253,0.0023789579558695373,1,ns
strain,GFC0240,GFC0254,0.008291092249280374,1,ns
strain,GFC0240,GFC0255,0.006007056973327429,1,ns
strain,GFC0240,GFC0256,0.004485406220922417,1,ns
strain,GFC0240,GFC0257,0.005772931940763948,1,ns
strain,GFC0240,GFC0258,0.009402614845466284,1,ns
strain,GFC0240,SV01,0.014753510488460686,0.998,ns
strain,GFC0241,GFC0242,0.002862692095807362,1,ns
strain,GFC0241,GFC0243,0.012477504909810755,1,ns
strain,GFC0241,GFC0244,0.004718729783522169,1,ns
strain,GFC0241,GFC0245,-0.03369385064858063,0.186,ns
strain,GFC0241,GFC0246,-0.002697268532165231,1,ns
strain,GFC0241,GFC0247,-0.0026982529463236427,1,ns
strain,GFC0241,GFC0248,-0.016233937653588937,0.998,ns
strain,GFC0241,GFC0249,-0.041905867141775605,0.0155,*
strain,GFC0241,GFC0250,-0.012212550208752532,1,ns
strain,GFC0241,GFC0251,-0.01897684609556416,0.984,ns
strain,GFC0241,GFC0252,-0.012813363645153508,1,ns
