term,group1,group2,estimate,p.adj,p.adj.signif
interaction_var,0.0,100.0,-0.08034316896565274,1.3e-11,****
interaction_var,0.0,0.5e-06,-0.04370864676986036,1.3e-11,****
interaction_var,0.0,100.5e-06,-0.09917912059967396,1.3e-11,****
interaction_var,100.0,0.5e-06,0.036634522195792385,1.3e-11,****
interaction_var,100.0,100.5e-06,-0.018835951634021214,9.65e-6,****
interaction_var,0.5e-06,100.5e-06,-0.0554704738298136,1.3e-11,****
strain,GFC0180,GFC0181,-0.003232485449968736,1,ns
strain,GFC0180,GFC0182,0.040680207229328275,0.00584,**
strain,GFC0180,GFC0183,-0.02153449861185941,0.833,ns
strain,GFC0180,GFC0184,-0.009614730623492024,1,ns
strain,GFC0180,GFC0185,-0.009329917975444885,1,ns
strain,GFC0180,GFC0186,-0.042901248706062406,4.57e-4,***
strain,GFC0180,GFC0187,1.5816373409860418e-6,1,ns
strain,GFC0180,GFC0188,0.04451858549885851,0.00108,**
strain,GFC0180,GFC0189,0.042658412618723385,0.0025,**
strain,GFC0180,GFC0190,0.06251001456531613,5.27e-8,****
strain,GFC0180,GFC0191,-0.05527731199362354,4.09e-6,****
strain,GFC0180,GFC0192,0.0129640832377792,1,ns
strain,GFC0180,GFC0193,-0.04289688055223895,4.58e-4,***
strain,GFC0180,GFC0194,0.024168342110871488,0.645,ns
strain,GFC0180,GFC0195,0.02890882350005866,0.28,ns
strain,GFC0180,GFC0196,0.04616503084401932,1.17e-4,***
strain,GFC0180,GFC0197,0.037816657726919445,0.0071,**
strain,GFC0180,GFC0198,0.03885559275725675,0.00448,**
strain,GFC0180,GFC0199,-0.04040318776296875,0.0101,*
strain,GFC0180,GFC0221,0.03486924728573021,0.00536,**
strain,GFC0180,GFC0222,0.015171602710828569,0.972,ns
strain,GFC0180,SV01,0.09041105885479678,1.32e-11,****
strain,GFC0181,GFC0182,0.04391269267929701,0.00184,**
strain,GFC0181,GFC0183,-0.018302013161890673,0.966,ns
strain,GFC0181,GFC0184,-0.006382245173523288,1,ns
strain,GFC0181,GFC0185,-0.0060974325254761486,1,ns
strain,GFC0181,GFC0186,-0.03966876325609367,0.00305,**
strain,GFC0181,GFC0187,0.003234067087309722,1,ns
strain,GFC0181,GFC0188,0.047751070948827246,3.1e-4,***
strain,GFC0181,GFC0189,0.04589089806869212,7.51e-4,***
strain,GFC0181,GFC0190,0.06574250001528487,1.14e-8,****
strain,GFC0181,GFC0191,-0.052044826543654804,3.53e-5,****
strain,GFC0181,GFC0192,0.016196568687747936,0.993,ns
strain,GFC0181,GFC0193,-0.03966439510227021,0.00306,**
strain,GFC0181,GFC0194,0.027400827560840224,0.412,ns
strain,GFC0181,GFC0195,0.0321413089500274,0.137,ns
strain,GFC0181,GFC0196,0.04939751629398806,2.88e-5,****
strain,GFC0181,GFC0197,0.04104914317688818,0.00214,**
strain,GFC0181,GFC0198,0.04208807820722549,0.00131,**
strain,GFC0181,GFC0199,-0.037170702313000015,0.0388,*
strain,GFC0181,GFC0221,0.038101732735698945,0.00144,**
strain,GFC0181,GFC0222,0.018404088160797305,0.852,ns
strain,GFC0181,SV01,0.09364354430476551,1.31e-11,****
strain,GFC0182,GFC0183,-0.062214705841187684,6.35e-8,****
strain,GFC0182,GFC0184,-0.0502949378528203,6.25e-5,****
strain,GFC0182,GFC0185,-0.05001012520477316,7.25e-5,****
strain,GFC0182,GFC0186,-0.08358145593539068,1.32e-11,****
strain,GFC0182,GFC0187,-0.04067862559198729,0.00585,**
strain,GFC0182,GFC0188,0.003838378269530235,1,ns
strain,GFC0182,GFC0189,0.00197820538939511,1,ns
strain,GFC0182,GFC0190,0.021829807335987855,0.815,ns
strain,GFC0182,GFC0191,-0.09595751922295181,1.32e-11,****
strain,GFC0182,GFC0192,-0.027716123991549074,0.388,ns
strain,GFC0182,GFC0193,-0.08357708778156722,1.32e-11,****
strain,GFC0182,GFC0194,-0.016511865118456787,0.988,ns
strain,GFC0182,GFC0195,-0.011771383729269613,1,ns
strain,GFC0182,GFC0196,0.005484823614691048,1,ns
strain,GFC0182,GFC0197,-0.0028635495024088298,1,ns
strain,GFC0182,GFC0198,-0.001824614472071523,1,ns
strain,GFC0182,GFC0199,-0.08108339499229703,1.38e-11,****
strain,GFC0182,GFC0221,-0.005810959943598065,1,ns
strain,GFC0182,GFC0222,-0.025508604518499706,0.221,ns
strain,GFC0182,SV01,0.0497308516254685,1.18e-6,****
strain,GFC0183,GFC0184,0.011919767988367386,1,ns
strain,GFC0183,GFC0185,0.012204580636414525,1,ns
strain,GFC0183,GFC0186,-0.021366750094202996,0.729,ns
strain,GFC0183,GFC0187,0.021536080249200396,0.833,ns
strain,GFC0183,GFC0188,0.06605308411071792,5.34e-9,****
strain,GFC0183,GFC0189,0.0641929112305828,1.8e-8,****
strain,GFC0183,GFC0190,0.08404451317717554,1.32e-11,****
strain,GFC0183,GFC0191,-0.03374281338176413,0.0751,ns
strain,GFC0183,GFC0192,0.03449858184963861,0.0681,ns
strain,GFC0183,GFC0193,-0.021362381940379538,0.73,ns
strain,GFC0183,GFC0194,0.0457028407227309,6.2e-4,***
strain,GFC0183,GFC0195,0.05044332211191807,5.78e-5,****
strain,GFC0183,GFC0196,0.06769952945587873,1.06e-10,****
strain,GFC0183,GFC0197,0.059351156338778854,3.62e-8,****
strain,GFC0183,GFC0198,0.06039009136911616,1.78e-8,****
strain,GFC0183,GFC0199,-0.01886868915110934,0.96,ns
strain,GFC0183,GFC0221,0.05640374589758962,5.05e-9,****
strain,GFC0183,GFC0222,0.03670610132268798,0.00211,**
strain,GFC0183,SV01,0.11194555746665619,1.3e-11,****
strain,GFC0184,GFC0185,2.8481264804713913e-4,1,ns
strain,GFC0184,GFC0186,-0.03328651808257038,0.0359,*
strain,GFC0184,GFC0187,0.00961631226083301,1,ns
strain,GFC0184,GFC0188,0.05413331612235053,7.81e-6,****
strain,GFC0184,GFC0189,0.05227314324221541,2.18e-5,****
strain,GFC0184,GFC0190,0.07212474518880815,9.68e-11,****
strain,GFC0184,GFC0191,-0.045662581370131516,6.32e-4,***
strain,GFC0184,GFC0192,0.022578813861271224,0.785,ns
strain,GFC0184,GFC0193,-0.033282149928746924,0.036,*
strain,GFC0184,GFC0194,0.03378307273436351,0.0742,ns
strain,GFC0184,GFC0195,0.038523554123550685,0.0139,*
strain,GFC0184,GFC0196,0.055779761467511346,3.83e-7,****
strain,GFC0184,GFC0197,0.04743138835041147,5.82e-5,****
strain,GFC0184,GFC0198,0.048470323380748775,3.24e-5,****
strain,GFC0184,GFC0199,-0.030788457139476727,0.218,ns
strain,GFC0184,GFC0221,0.04448397790922223,2.31e-5,****
strain,GFC0184,GFC0222,0.024786333334320593,0.27,ns
strain,GFC0184,SV01,0.1000257894782888,1.3e-11,****
strain,GFC0185,GFC0186,-0.03357133073061752,0.0322,*
strain,GFC0185,GFC0187,0.00933149961278587,1,ns
strain,GFC0185,GFC0188,0.053848503474303394,9.16e-6,****
strain,GFC0185,GFC0189,0.05198833059416827,2.54e-5,****
strain,GFC0185,GFC0190,0.07183993254076101,1.15e-10,****
strain,GFC0185,GFC0191,-0.045947394018178656,5.52e-4,***
strain,GFC0185,GFC0192,0.022294001213224085,0.804,ns
strain,GFC0185,GFC0193,-0.03356696257679406,0.0323,*
strain,GFC0185,GFC0194,0.03349826008631637,0.0811,ns
strain,GFC0185,GFC0195,0.038238741475503546,0.0155,*
strain,GFC0185,GFC0196,0.05549494881946421,4.6e-7,****
strain,GFC0185,GFC0197,0.04714657570236433,6.82e-5,****
strain,GFC0185,GFC0198,0.048185510732701636,3.81e-5,****
strain,GFC0185,GFC0199,-0.031073269787523866,0.203,ns
strain,GFC0185,GFC0221,0.044199165261175094,2.77e-5,****
strain,GFC0185,GFC0222,0.024501520686273454,0.292,ns
strain,GFC0185,SV01,0.09974097683024166,1.3e-11,****
strain,GFC0186,GFC0187,0.04290283034340339,4.57e-4,***
strain,GFC0186,GFC0188,0.08741983420492092,1.32e-11,****
strain,GFC0186,GFC0189,0.08555966132478579,1.32e-11,****
strain,GFC0186,GFC0190,0.10541126327137854,1.3e-11,****
strain,GFC0186,GFC0191,-0.012376063287561134,0.999,ns
strain,GFC0186,GFC0192,0.055865331943841606,3.54e-7,****
strain,GFC0186,GFC0193,4.368153823458565e-6,1,ns
strain,GFC0186,GFC0194,0.0670695908169339,7.99e-11,****
strain,GFC0186,GFC0195,0.07181007220612107,1.48e-11,****
strain,GFC0186,GFC0196,0.08906627955008173,1.32e-11,****
strain,GFC0186,GFC0197,0.08071790643298185,1.32e-11,****
strain,GFC0186,GFC0198,0.08175684146331916,1.32e-11,****
strain,GFC0186,GFC0199,0.002498060943093655,1,ns
strain,GFC0186,GFC0221,0.07777049599179262,1.32e-11,****
strain,GFC0186,GFC0222,0.058072851416890975,1.85e-11,****
strain,GFC0186,SV01,0.13331230756085918,1.3e-11,****
strain,GFC0187,GFC0188,0.04451700386151752,0.00108,**
strain,GFC0187,GFC0189,0.0426568309813824,0.0025,**
strain,GFC0187,GFC0190,0.06250843292797514,5.28e-8,****
strain,GFC0187,GFC0191,-0.055278893630964526,4.09e-6,****
strain,GFC0187,GFC0192,0.012962501600438214,1,ns
strain,GFC0187,GFC0193,-0.04289846218957993,4.58e-4,***
strain,GFC0187,GFC0194,0.024166760473530502,0.645,ns
strain,GFC0187,GFC0195,0.028907241862717675,0.28,ns
