strain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,GFC0706,GFC0706,GFC0706,GFC0706,GFC0707,GFC0707,GFC0707,GFC0707,GFC0708,GFC0708,GFC0708,GFC0708,GFC0709,GFC0709,GFC0709,GFC0709,GFC0711,GFC0711,GFC0711,GFC0711,blank,blank,blank,blank
B,GFC0706,GFC0706,GFC0706,GFC0706,GFC0707,GFC0707,GFC0707,GFC0707,GFC0708,GFC0708,GFC0708,GFC0708,GFC0709,GFC0709,GFC0709,GFC0709,GFC0711,GFC0711,GFC0711,GFC0711,blank,blank,blank,blank
C,GFC0706,GFC0706,GFC0706,GFC0706,GFC0707,GFC0707,GFC0707,GFC0707,GFC0708,GFC0708,GFC0708,GFC0708,GFC0709,GFC0709,GFC0709,GFC0709,GFC0711,GFC0711,GFC0711,GFC0711,blank,blank,blank,blank
D,GFC0706,GFC0706,GFC0706,GFC0706,GFC0707,GFC0707,GFC0707,GFC0707,GFC0708,GFC0708,GFC0708,GFC0708,GFC0709,GFC0709,GFC0709,GFC0709,GFC0711,GFC0711,GFC0711,GFC0711,blank,blank,blank,blank
E,GFC0706,GFC0706,GFC0706,GFC0706,GFC0707,GFC0707,GFC0707,GFC0707,GFC0708,GFC0708,GFC0708,GFC0708,GFC0709,GFC0709,GFC0709,GFC0709,GFC0711,GFC0711,GFC0711,GFC0711,blank,blank,blank,blank
F,GFC0706,GFC0706,GFC0706,GFC0706,GFC0707,GFC0707,GFC0707,GFC0707,GFC0708,GFC0708,GFC0708,GFC0708,GFC0709,GFC0709,GFC0709,GFC0709,GFC0711,GFC0711,GFC0711,GFC0711,blank,blank,blank,blank
G,GFC0706,GFC0706,GFC0706,GFC0706,GFC0707,GFC0707,GFC0707,GFC0707,GFC0708,GFC0708,GFC0708,GFC0708,GFC0709,GFC0709,GFC0709,GFC0709,GFC0711,GFC0711,GFC0711,GFC0711,blank,blank,blank,blank
H,GFC0706,GFC0706,GFC0706,GFC0706,GFC0707,GFC0707,GFC0707,GFC0707,GFC0708,GFC0708,GFC0708,GFC0708,GFC0709,GFC0709,GFC0709,GFC0709,GFC0711,GFC0711,GFC0711,GFC0711,blank,blank,blank,blank
I,GFC0706,GFC0706,GFC0706,GFC0706,GFC0707,GFC0707,GFC0707,GFC0707,GFC0708,GFC0708,GFC0708,GFC0708,GFC0709,GFC0709,GFC0709,GFC0709,GFC0711,GFC0711,GFC0711,GFC0711,blank,blank,blank,blank
J,GFC0706,GFC0706,GFC0706,GFC0706,GFC0707,GFC0707,GFC0707,GFC0707,GFC0708,GFC0708,GFC0708,GFC0708,GFC0709,GFC0709,GFC0709,GFC0709,GFC0711,GFC0711,GFC0711,GFC0711,blank,blank,blank,blank
K,GFC0706,GFC0706,GFC0706,GFC0706,GFC0707,GFC0707,GFC0707,GFC0707,GFC0708,GFC0708,GFC0708,GFC0708,GFC0709,GFC0709,GFC0709,GFC0709,GFC0711,GFC0711,GFC0711,GFC0711,blank,blank,blank,blank
L,GFC0706,GFC0706,GFC0706,GFC0706,GFC0707,GFC0707,GFC0707,GFC0707,GFC0708,GFC0708,GFC0708,GFC0708,GFC0709,GFC0709,GFC0709,GFC0709,GFC0711,GFC0711,GFC0711,GFC0711,blank,blank,blank,blank
M,GFC0706,GFC0706,GFC0706,GFC0706,GFC0707,GFC0707,GFC0707,GFC0707,GFC0708,GFC0708,GFC0708,GFC0708,GFC0709,GFC0709,GFC0709,GFC0709,GFC0711,GFC0711,GFC0711,GFC0711,blank,blank,blank,blank
N,GFC0706,GFC0706,GFC0706,GFC0706,GFC0707,GFC0707,GFC0707,GFC0707,GFC0708,GFC0708,GFC0708,GFC0708,GFC0709,GFC0709,GFC0709,GFC0709,GFC0711,GFC0711,GFC0711,GFC0711,blank,blank,blank,blank
