strain,1,2,3,4,5,6,7,8,9,10,11,12
A,GFC0736,GFC0736,GFC0736,GFC0736,GFC0737,GFC0737,GFC0737,GFC0737,SV01,SV01,SV01,SV01
B,GFC0736,GFC0736,GFC0736,GFC0736,GFC0737,GFC0737,GFC0737,GFC0737,SV01,SV01,SV01,SV01
C,GFC0736,GFC0736,GFC0736,GFC0736,GFC0737,GFC0737,GFC0737,GFC0737,SV01,SV01,SV01,SV01
D,GFC0736,GFC0736,GFC0736,GFC0736,GFC0737,GFC0737,GFC0737,GFC0737,SV01,SV01,SV01,SV01
E,GFC0736,GFC0736,GFC0736,GFC0736,GFC0737,GFC0737,GFC0737,GFC0737,SV01,SV01,SV01,SV01
F,GFC0736,GFC0736,GFC0736,GFC0736,GFC0737,GFC0737,GFC0737,GFC0737,SV01,SV01,SV01,SV01
G,GFC0736,GFC0736,GFC0736,GFC0736,GFC0737,GFC0737,GFC0737,GFC0737,SV01,SV01,SV01,SV01
H,GFC0736,GFC0736,GFC0736,GFC0736,GFC0737,GFC0737,GFC0737,GFC0737,SV01,SV01,SV01,SV01
,,,,,,,,,,,,
arabinose,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
B,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
C,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
D,0,0,0,0,0,0,0,0,0,0,0,0
E,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
F,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
G,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
H,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
antisigma,1,2,3,4,5,6,7,8,9,10,11,12
A,Ptet-AS22_t,Ptet-AS22_t,Ptet-AS22_t,Ptet-AS22_t,PpcaU-AS22_t,PpcaU-AS22_t,PpcaU-AS22_t,PpcaU-AS22_t,wildtype,wildtype,wildtype,wildtype
B,Ptet-AS22_t,Ptet-AS22_t,Ptet-AS22_t,Ptet-AS22_t,PpcaU-AS22_t,PpcaU-AS22_t,PpcaU-AS22_t,PpcaU-AS22_t,wildtype,wildtype,wildtype,wildtype
C,Ptet-AS22_t,Ptet-AS22_t,Ptet-AS22_t,Ptet-AS22_t,PpcaU-AS22_t,PpcaU-AS22_t,PpcaU-AS22_t,PpcaU-AS22_t,wildtype,wildtype,wildtype,wildtype
D,Ptet-AS22_t,Ptet-AS22_t,Ptet-AS22_t,Ptet-AS22_t,PpcaU-AS22_t,PpcaU-AS22_t,PpcaU-AS22_t,PpcaU-AS22_t,wildtype,wildtype,wildtype,wildtype
E,Ptet-AS22_t,Ptet-AS22_t,Ptet-AS22_t,Ptet-AS22_t,PpcaU-AS22_t,PpcaU-AS22_t,PpcaU-AS22_t,PpcaU-AS22_t,wildtype,wildtype,wildtype,wildtype
F,Ptet-AS22_t,Ptet-AS22_t,Ptet-AS22_t,Ptet-AS22_t,PpcaU-AS22_t,PpcaU-AS22_t,PpcaU-AS22_t,PpcaU-AS22_t,wildtype,wildtype,wildtype,wildtype
G,Ptet-AS22_t,Ptet-AS22_t,Ptet-AS22_t,Ptet-AS22_t,PpcaU-AS22_t,PpcaU-AS22_t,PpcaU-AS22_t,PpcaU-AS22_t,wildtype,wildtype,wildtype,wildtype
H,Ptet-AS22_t,Ptet-AS22_t,Ptet-AS22_t,Ptet-AS22_t,PpcaU-AS22_t,PpcaU-AS22_t,PpcaU-AS22_t,PpcaU-AS22_t,wildtype,wildtype,wildtype,wildtype
,,,,,,,,,,,,
aTc,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
DHBA,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
rep,1,2,3,4,5,6,7,8,9,10,11,12
A,1,3,5,7,1,3,5,7,1,3,5,7
B,1,3,5,7,1,3,5,7,1,3,5,7
C,1,3,5,7,1,3,5,7,1,3,5,7
D,1,3,5,7,1,3,5,7,1,3,5,7
E,2,4,6,8,2,4,6,8,2,4,6,8
F,2,4,6,8,2,4,6,8,2,4,6,8
G,2,4,6,8,2,4,6,8,2,4,6,8
H,2,4,6,8,2,4,6,8,2,4,6,8
