strain,1,2,3,4,5,6,7,8,9,10,11,12
A,GFC0236,GFC0237,GFC0238,GFC0239,GFC0240,GFC0241,GFC0242,GFC0243,GFC0244,GFC0207,GFC0310,blank
B,GFC0236,GFC0237,GFC0238,GFC0239,GFC0240,GFC0241,GFC0242,GFC0243,GFC0244,GFC0207,GFC0310,blank
C,GFC0236,GFC0237,GFC0238,GFC0239,GFC0240,GFC0241,GFC0242,GFC0243,GFC0244,GFC0207,GFC0310,blank
D,GFC0236,GFC0237,GFC0238,GFC0239,GFC0240,GFC0241,GFC0242,GFC0243,GFC0244,GFC0207,GFC0310,blank
E,GFC0236,GFC0237,GFC0238,GFC0239,GFC0240,GFC0241,GFC0242,GFC0243,GFC0244,GFC0207,GFC0310,blank
F,GFC0236,GFC0237,GFC0238,GFC0239,GFC0240,GFC0241,GFC0242,GFC0243,GFC0244,GFC0207,GFC0310,blank
G,GFC0236,GFC0237,GFC0238,GFC0239,GFC0240,GFC0241,GFC0242,GFC0243,GFC0244,GFC0207,GFC0310,blank
H,GFC0236,GFC0237,GFC0238,GFC0239,GFC0240,GFC0241,GFC0242,GFC0243,GFC0244,GFC0207,GFC0310,blank
,,,,,,,,,,,,
arabinose,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
C,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
D,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
E,0,0,0,0,0,0,0,0,0,0,0,0
F,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
G,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
H,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
,,,,,,,,,,,,
antisigma,1,2,3,4,5,6,7,8,9,10,11,12
A,AS11_t2,AS14_t1,AS14_t2,AS15,AS16,AS17_t1,AS17_t2,AS20_t1,AS20_t2,Pbad-lux,Ptet-lux,blank
B,AS11_t2,AS14_t1,AS14_t2,AS15,AS16,AS17_t1,AS17_t2,AS20_t1,AS20_t2,Pbad-lux,Ptet-lux,blank
C,AS11_t2,AS14_t1,AS14_t2,AS15,AS16,AS17_t1,AS17_t2,AS20_t1,AS20_t2,Pbad-lux,Ptet-lux,blank
D,AS11_t2,AS14_t1,AS14_t2,AS15,AS16,AS17_t1,AS17_t2,AS20_t1,AS20_t2,Pbad-lux,Ptet-lux,blank
E,AS11_t2,AS14_t1,AS14_t2,AS15,AS16,AS17_t1,AS17_t2,AS20_t1,AS20_t2,Pbad-lux,Ptet-lux,blank
F,AS11_t2,AS14_t1,AS14_t2,AS15,AS16,AS17_t1,AS17_t2,AS20_t1,AS20_t2,Pbad-lux,Ptet-lux,blank
G,AS11_t2,AS14_t1,AS14_t2,AS15,AS16,AS17_t1,AS17_t2,AS20_t1,AS20_t2,Pbad-lux,Ptet-lux,blank
H,AS11_t2,AS14_t1,AS14_t2,AS15,AS16,AS17_t1,AS17_t2,AS20_t1,AS20_t2,Pbad-lux,Ptet-lux,blank
,,,,,,,,,,,,
aTc,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
rep,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
E,2,2,2,2,2,2,2,2,2,2,2,2
F,2,2,2,2,2,2,2,2,2,2,2,2
G,2,2,2,2,2,2,2,2,2,2,2,2
H,2,2,2,2,2,2,2,2,2,2,2,2
