strain,1,2,3,4,5,6,7,8,9,10,11,12
A,GFC0245,GFC0246,GFC0247,GFC0248,GFC0249,GFC0250,GFC0251,GFC0252,GFC0253,GFC0254,GFC0255,blank
B,GFC0245,GFC0246,GFC0247,GFC0248,GFC0249,GFC0250,GFC0251,GFC0252,GFC0253,GFC0254,GFC0255,blank
C,GFC0245,GFC0246,GFC0247,GFC0248,GFC0249,GFC0250,GFC0251,GFC0252,GFC0253,GFC0254,GFC0255,blank
D,GFC0245,GFC0246,GFC0247,GFC0248,GFC0249,GFC0250,GFC0251,GFC0252,GFC0253,GFC0254,GFC0255,blank
E,GFC0245,GFC0246,GFC0247,GFC0248,GFC0249,GFC0250,GFC0251,GFC0252,GFC0253,GFC0254,GFC0255,blank
F,GFC0245,GFC0246,GFC0247,GFC0248,GFC0249,GFC0250,GFC0251,GFC0252,GFC0253,GFC0254,GFC0255,blank
G,GFC0245,GFC0246,GFC0247,GFC0248,GFC0249,GFC0250,GFC0251,GFC0252,GFC0253,GFC0254,GFC0255,blank
H,GFC0245,GFC0246,GFC0247,GFC0248,GFC0249,GFC0250,GFC0251,GFC0252,GFC0253,GFC0254,GFC0255,blank
,,,,,,,,,,,,
arabinose,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
C,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
D,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
E,0,0,0,0,0,0,0,0,0,0,0,0
F,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
G,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
H,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
,,,,,,,,,,,,
antisigma,1,2,3,4,5,6,7,8,9,10,11,12
A,AS22_t,AS26_t1,AS26_t2,AS27_t1,AS27_t2,AS28_t1,AS28_t2,AS31_t1,AS31_t2,AS34_t1,AS34_t2,blank
B,AS22_t,AS26_t1,AS26_t2,AS27_t1,AS27_t2,AS28_t1,AS28_t2,AS31_t1,AS31_t2,AS34_t1,AS34_t2,blank
C,AS22_t,AS26_t1,AS26_t2,AS27_t1,AS27_t2,AS28_t1,AS28_t2,AS31_t1,AS31_t2,AS34_t1,AS34_t2,blank
D,AS22_t,AS26_t1,AS26_t2,AS27_t1,AS27_t2,AS28_t1,AS28_t2,AS31_t1,AS31_t2,AS34_t1,AS34_t2,blank
E,AS22_t,AS26_t1,AS26_t2,AS27_t1,AS27_t2,AS28_t1,AS28_t2,AS31_t1,AS31_t2,AS34_t1,AS34_t2,blank
F,AS22_t,AS26_t1,AS26_t2,AS27_t1,AS27_t2,AS28_t1,AS28_t2,AS31_t1,AS31_t2,AS34_t1,AS34_t2,blank
G,AS22_t,AS26_t1,AS26_t2,AS27_t1,AS27_t2,AS28_t1,AS28_t2,AS31_t1,AS31_t2,AS34_t1,AS34_t2,blank
H,AS22_t,AS26_t1,AS26_t2,AS27_t1,AS27_t2,AS28_t1,AS28_t2,AS31_t1,AS31_t2,AS34_t1,AS34_t2,blank
,,,,,,,,,,,,
aTc,1,2,3,4,5,6,7,8,9,10,11,12
A,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
B,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
C,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
D,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
E,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
F,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
G,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
H,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
,,,,,,,,,,,,
rep,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
E,2,2,2,2,2,2,2,2,2,2,2,2
F,2,2,2,2,2,2,2,2,2,2,2,2
G,2,2,2,2,2,2,2,2,2,2,2,2
H,2,2,2,2,2,2,2,2,2,2,2,2
