strain,1,2,3,4,5,6,7,8,9,10,11,12
A,GFC0256,GFC0256,GFC0256,GFC0257,GFC0257,GFC0257,GFC0258,GFC0258,GFC0258,GFC0310,GFC0310,blank
B,GFC0256,GFC0256,GFC0256,GFC0257,GFC0257,GFC0257,GFC0258,GFC0258,GFC0258,GFC0310,GFC0310,blank
C,GFC0256,GFC0256,GFC0256,GFC0257,GFC0257,GFC0257,GFC0258,GFC0258,GFC0258,GFC0310,GFC0310,blank
D,GFC0256,GFC0256,GFC0256,GFC0257,GFC0257,GFC0257,GFC0258,GFC0258,GFC0258,GFC0310,GFC0310,blank
E,GFC0256,GFC0256,GFC0256,GFC0257,GFC0257,GFC0257,GFC0258,GFC0258,GFC0258,GFC0310,GFC0310,blank
F,GFC0256,GFC0256,GFC0256,GFC0257,GFC0257,GFC0257,GFC0258,GFC0258,GFC0258,GFC0310,GFC0310,blank
G,GFC0256,GFC0256,GFC0256,GFC0257,GFC0257,GFC0257,GFC0258,GFC0258,GFC0258,GFC0310,GFC0310,blank
H,GFC0256,GFC0256,GFC0256,GFC0257,GFC0257,GFC0257,GFC0258,GFC0258,GFC0258,GFC0310,GFC0310,blank
,,,,,,,,,,,,
arabinose,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
C,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
D,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
E,0,0,0,0,0,0,0,0,0,0,0,0
F,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
G,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
H,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
,,,,,,,,,,,,
antisigma,1,2,3,4,5,6,7,8,9,10,11,12
A,AS37_t1,AS37_t1,AS37_t1,AS37_t2,AS37_t2,AS37_t2,AS38_t,AS38_t,AS38_t,Ptet-lux,Ptet-lux,blank
B,AS37_t1,AS37_t1,AS37_t1,AS37_t2,AS37_t2,AS37_t2,AS38_t,AS38_t,AS38_t,Ptet-lux,Ptet-lux,blank
C,AS37_t1,AS37_t1,AS37_t1,AS37_t2,AS37_t2,AS37_t2,AS38_t,AS38_t,AS38_t,Ptet-lux,Ptet-lux,blank
D,AS37_t1,AS37_t1,AS37_t1,AS37_t2,AS37_t2,AS37_t2,AS38_t,AS38_t,AS38_t,Ptet-lux,Ptet-lux,blank
E,AS37_t1,AS37_t1,AS37_t1,AS37_t2,AS37_t2,AS37_t2,AS38_t,AS38_t,AS38_t,Ptet-lux,Ptet-lux,blank
F,AS37_t1,AS37_t1,AS37_t1,AS37_t2,AS37_t2,AS37_t2,AS38_t,AS38_t,AS38_t,Ptet-lux,Ptet-lux,blank
G,AS37_t1,AS37_t1,AS37_t1,AS37_t2,AS37_t2,AS37_t2,AS38_t,AS38_t,AS38_t,Ptet-lux,Ptet-lux,blank
H,AS37_t1,AS37_t1,AS37_t1,AS37_t2,AS37_t2,AS37_t2,AS38_t,AS38_t,AS38_t,Ptet-lux,Ptet-lux,blank
,,,,,,,,,,,,
aTc,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0
E,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
F,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
G,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
H,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
,,,,,,,,,,,,
rep,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
E,2,2,2,2,2,2,2,2,2,2,2,2
F,2,2,2,2,2,2,2,2,2,2,2,2
G,2,2,2,2,2,2,2,2,2,2,2,2
H,2,2,2,2,2,2,2,2,2,2,2,2
