strain,1,2,3,4,5,6,7,8,9,10,11,12
A,GFC0235,GFC0236,GFC0237,NA,GFC0239,GFC0240,GFC0241,GFC0242,GFC0243,GFC0244,GFC0245,GFC0246
B,GFC0235,GFC0236,GFC0237,NA,GFC0239,GFC0240,GFC0241,GFC0242,GFC0243,GFC0244,GFC0245,GFC0246
C,GFC0235,GFC0236,GFC0237,NA,GFC0239,GFC0240,GFC0241,GFC0242,GFC0243,GFC0244,GFC0245,GFC0246
D,GFC0235,GFC0236,GFC0237,NA,GFC0239,GFC0240,GFC0241,GFC0242,GFC0243,GFC0244,GFC0245,GFC0246
E,GFC0235,GFC0236,GFC0237,NA,GFC0239,GFC0240,GFC0241,GFC0242,GFC0243,GFC0244,GFC0245,GFC0246
F,GFC0235,GFC0236,GFC0237,NA,GFC0239,GFC0240,GFC0241,GFC0242,GFC0243,GFC0244,GFC0245,GFC0246
G,GFC0235,GFC0236,GFC0237,NA,GFC0239,GFC0240,GFC0241,GFC0242,GFC0243,GFC0244,GFC0245,GFC0246
H,GFC0235,GFC0236,GFC0237,NA,GFC0239,GFC0240,GFC0241,GFC0242,GFC0243,GFC0244,GFC0245,GFC0246
,,,,,,,,,,,,
arabinose,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,NA,0,0,0,0,0,0,0,0
B,0.000005,0.000005,0.000005,NA,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
C,0.000025,0.000025,0.000025,NA,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
D,0.0002,0.0002,0.0002,NA,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
E,0,0,0,NA,0,0,0,0,0,0,0,0
F,0.000005,0.000005,0.000005,NA,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
G,0.000025,0.000025,0.000025,NA,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
H,0.0002,0.0002,0.0002,NA,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
,,,,,,,,,,,,
antisigma,1,2,3,4,5,6,7,8,9,10,11,12
A,AS11_t1,AS11_t2,AS14_t1,NA,AS15,AS16,AS17_t1,AS17_t2,AS20_t1,AS20_t2,AS22_t,AS26_t1
B,AS11_t1,AS11_t2,AS14_t1,NA,AS15,AS16,AS17_t1,AS17_t2,AS20_t1,AS20_t2,AS22_t,AS26_t1
C,AS11_t1,AS11_t2,AS14_t1,NA,AS15,AS16,AS17_t1,AS17_t2,AS20_t1,AS20_t2,AS22_t,AS26_t1
D,AS11_t1,AS11_t2,AS14_t1,NA,AS15,AS16,AS17_t1,AS17_t2,AS20_t1,AS20_t2,AS22_t,AS26_t1
E,AS11_t1,AS11_t2,AS14_t1,NA,AS15,AS16,AS17_t1,AS17_t2,AS20_t1,AS20_t2,AS22_t,AS26_t1
F,AS11_t1,AS11_t2,AS14_t1,NA,AS15,AS16,AS17_t1,AS17_t2,AS20_t1,AS20_t2,AS22_t,AS26_t1
G,AS11_t1,AS11_t2,AS14_t1,NA,AS15,AS16,AS17_t1,AS17_t2,AS20_t1,AS20_t2,AS22_t,AS26_t1
H,AS11_t1,AS11_t2,AS14_t1,NA,AS15,AS16,AS17_t1,AS17_t2,AS20_t1,AS20_t2,AS22_t,AS26_t1
,,,,,,,,,,,,
aTc,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0
E,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
F,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
G,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
H,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
,,,,,,,,,,,,
rep,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
