strain,1,2,3,4,5,6,7,8,9,10,11,12
A,GFC0247,GFC0248,NA,GFC0250,GFC0251,GFC0252,GFC0253,GFC0254,GFC0255,GFC0256,GFC0257,GFC0258
B,GFC0247,GFC0248,NA,GFC0250,GFC0251,GFC0252,GFC0253,GFC0254,GFC0255,GFC0256,GFC0257,GFC0258
C,GFC0247,GFC0248,NA,GFC0250,GFC0251,GFC0252,GFC0253,GFC0254,GFC0255,GFC0256,GFC0257,GFC0258
D,GFC0247,GFC0248,NA,GFC0250,GFC0251,GFC0252,GFC0253,GFC0254,GFC0255,GFC0256,GFC0257,GFC0258
E,GFC0247,GFC0248,NA,GFC0250,GFC0251,GFC0252,GFC0253,GFC0254,GFC0255,GFC0256,GFC0257,GFC0258
F,GFC0247,GFC0248,NA,GFC0250,GFC0251,GFC0252,GFC0253,GFC0254,GFC0255,GFC0256,GFC0257,GFC0258
G,GFC0247,GFC0248,NA,GFC0250,GFC0251,GFC0252,GFC0253,GFC0254,GFC0255,GFC0256,GFC0257,GFC0258
H,GFC0247,GFC0248,NA,GFC0250,GFC0251,GFC0252,GFC0253,GFC0254,GFC0255,GFC0256,GFC0257,GFC0258
,,,,,,,,,,,,
arabinose,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,NA,0,0,0,0,0,0,0,0,0
B,0.000005,0.000005,NA,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
C,0.000025,0.000025,NA,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
D,0.0002,0.0002,NA,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
E,0,0,NA,0,0,0,0,0,0,0,0,0
F,0.000005,0.000005,NA,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
G,0.000025,0.000025,NA,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
H,0.0002,0.0002,NA,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
,,,,,,,,,,,,
antisigma,1,2,3,4,5,6,7,8,9,10,11,12
A,AS26_t2,AS27_t1,NA,AS28_t1,AS28_t2,AS31_t1,AS31_t2,AS34_t1,AS34_t2,AS37_t1,AS37_t2,AS38_t
B,AS26_t2,AS27_t1,NA,AS28_t1,AS28_t2,AS31_t1,AS31_t2,AS34_t1,AS34_t2,AS37_t1,AS37_t2,AS38_t
C,AS26_t2,AS27_t1,NA,AS28_t1,AS28_t2,AS31_t1,AS31_t2,AS34_t1,AS34_t2,AS37_t1,AS37_t2,AS38_t
D,AS26_t2,AS27_t1,NA,AS28_t1,AS28_t2,AS31_t1,AS31_t2,AS34_t1,AS34_t2,AS37_t1,AS37_t2,AS38_t
E,AS26_t2,AS27_t1,NA,AS28_t1,AS28_t2,AS31_t1,AS31_t2,AS34_t1,AS34_t2,AS37_t1,AS37_t2,AS38_t
F,AS26_t2,AS27_t1,NA,AS28_t1,AS28_t2,AS31_t1,AS31_t2,AS34_t1,AS34_t2,AS37_t1,AS37_t2,AS38_t
G,AS26_t2,AS27_t1,NA,AS28_t1,AS28_t2,AS31_t1,AS31_t2,AS34_t1,AS34_t2,AS37_t1,AS37_t2,AS38_t
H,AS26_t2,AS27_t1,NA,AS28_t1,AS28_t2,AS31_t1,AS31_t2,AS34_t1,AS34_t2,AS37_t1,AS37_t2,AS38_t
,,,,,,,,,,,,
aTc,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0
E,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
F,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
G,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
H,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
,,,,,,,,,,,,
rep,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
