strain,1,2,3,4,5,6,7,8,9,10,11,12
A,GFC0235,GFC0235,GFC0235,GFC0248,GFC0248,GFC0248,GFC0249,GFC0249,GFC0249,SV01,SV01,SV01
B,GFC0235,GFC0235,GFC0235,GFC0248,GFC0248,GFC0248,GFC0249,GFC0249,GFC0249,SV01,SV01,SV01
C,GFC0235,GFC0235,GFC0235,GFC0248,GFC0248,GFC0248,GFC0249,GFC0249,GFC0249,SV01,SV01,SV01
D,GFC0235,GFC0235,GFC0235,GFC0248,GFC0248,GFC0248,GFC0249,GFC0249,GFC0249,SV01,SV01,SV01
E,GFC0235,GFC0235,GFC0235,GFC0248,GFC0248,GFC0248,GFC0249,GFC0249,GFC0249,SV01,SV01,SV01
F,GFC0235,GFC0235,GFC0235,GFC0248,GFC0248,GFC0248,GFC0249,GFC0249,GFC0249,SV01,SV01,SV01
G,GFC0235,GFC0235,GFC0235,GFC0248,GFC0248,GFC0248,GFC0249,GFC0249,GFC0249,SV01,SV01,SV01
H,GFC0235,GFC0235,GFC0235,GFC0248,GFC0248,GFC0248,GFC0249,GFC0249,GFC0249,SV01,SV01,SV01
,,,,,,,,,,,,
arabinose,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
C,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
D,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
E,0,0,0,0,0,0,0,0,0,0,0,0
F,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
G,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
H,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
,,,,,,,,,,,,
antisigma,1,2,3,4,5,6,7,8,9,10,11,12
A,AS11_t1,AS11_t1,AS11_t1,AS27_t1,AS27_t1,AS27_t1,AS27_t2,AS27_t2,AS27_t2,wildtype,wildtype,wildtype
B,AS11_t1,AS11_t1,AS11_t1,AS27_t1,AS27_t1,AS27_t1,AS27_t2,AS27_t2,AS27_t2,wildtype,wildtype,wildtype
C,AS11_t1,AS11_t1,AS11_t1,AS27_t1,AS27_t1,AS27_t1,AS27_t2,AS27_t2,AS27_t2,wildtype,wildtype,wildtype
D,AS11_t1,AS11_t1,AS11_t1,AS27_t1,AS27_t1,AS27_t1,AS27_t2,AS27_t2,AS27_t2,wildtype,wildtype,wildtype
E,AS11_t1,AS11_t1,AS11_t1,AS27_t1,AS27_t1,AS27_t1,AS27_t2,AS27_t2,AS27_t2,wildtype,wildtype,wildtype
F,AS11_t1,AS11_t1,AS11_t1,AS27_t1,AS27_t1,AS27_t1,AS27_t2,AS27_t2,AS27_t2,wildtype,wildtype,wildtype
G,AS11_t1,AS11_t1,AS11_t1,AS27_t1,AS27_t1,AS27_t1,AS27_t2,AS27_t2,AS27_t2,wildtype,wildtype,wildtype
H,AS11_t1,AS11_t1,AS11_t1,AS27_t1,AS27_t1,AS27_t1,AS27_t2,AS27_t2,AS27_t2,wildtype,wildtype,wildtype
,,,,,,,,,,,,
aTc,1,2,3,4,5,6,7,8,9,10,11,12
A,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
B,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
C,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
D,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
E,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
F,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
G,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
H,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
,,,,,,,,,,,,
rep,1,2,3,4,5,6,7,8,9,10,11,12
A,1,3,5,1,3,5,1,3,5,1,3,5
B,1,3,5,1,3,5,1,3,5,1,3,5
C,1,3,5,1,3,5,1,3,5,1,3,5
D,1,3,5,1,3,5,1,3,5,1,3,5
E,2,4,6,2,4,6,2,4,6,2,4,6
F,2,4,6,2,4,6,2,4,6,2,4,6
G,2,4,6,2,4,6,2,4,6,2,4,6
H,2,4,6,2,4,6,2,4,6,2,4,6
