strain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,GFC0718,GFC0718,GFC0719,GFC0719,GFC0720,GFC0720,GFC0721,GFC0721,GFC0722,GFC0722,GFC0723,GFC0723,GFC0724,GFC0724,GFC0725,GFC0725,GFC0726,GFC0726,GFC0727,GFC0727,GFC0728,GFC0728,GFC0729,GFC0729
B,GFC0718,GFC0718,GFC0719,GFC0719,GFC0720,GFC0720,GFC0721,GFC0721,GFC0722,GFC0722,GFC0723,GFC0723,GFC0724,GFC0724,GFC0725,GFC0725,GFC0726,GFC0726,GFC0727,GFC0727,GFC0728,GFC0728,GFC0729,GFC0729
C,GFC0718,GFC0718,GFC0719,GFC0719,GFC0720,GFC0720,GFC0721,GFC0721,GFC0722,GFC0722,GFC0723,GFC0723,GFC0724,GFC0724,GFC0725,GFC0725,GFC0726,GFC0726,GFC0727,GFC0727,GFC0728,GFC0728,GFC0729,GFC0729
D,GFC0718,GFC0718,GFC0719,GFC0719,GFC0720,GFC0720,GFC0721,GFC0721,GFC0722,GFC0722,GFC0723,GFC0723,GFC0724,GFC0724,GFC0725,GFC0725,GFC0726,GFC0726,GFC0727,GFC0727,GFC0728,GFC0728,GFC0729,GFC0729
E,GFC0718,GFC0718,GFC0719,GFC0719,GFC0720,GFC0720,GFC0721,GFC0721,GFC0722,GFC0722,GFC0723,GFC0723,GFC0724,GFC0724,GFC0725,GFC0725,GFC0726,GFC0726,GFC0727,GFC0727,GFC0728,GFC0728,GFC0729,GFC0729
F,GFC0718,GFC0718,GFC0719,GFC0719,GFC0720,GFC0720,GFC0721,GFC0721,GFC0722,GFC0722,GFC0723,GFC0723,GFC0724,GFC0724,GFC0725,GFC0725,GFC0726,GFC0726,GFC0727,GFC0727,GFC0728,GFC0728,GFC0729,GFC0729
G,GFC0718,GFC0718,GFC0719,GFC0719,GFC0720,GFC0720,GFC0721,GFC0721,GFC0722,GFC0722,GFC0723,GFC0723,GFC0724,GFC0724,GFC0725,GFC0725,GFC0726,GFC0726,GFC0727,GFC0727,GFC0728,GFC0728,GFC0729,GFC0729
H,GFC0718,GFC0718,GFC0719,GFC0719,GFC0720,GFC0720,GFC0721,GFC0721,GFC0722,GFC0722,GFC0723,GFC0723,GFC0724,GFC0724,GFC0725,GFC0725,GFC0726,GFC0726,GFC0727,GFC0727,GFC0728,GFC0728,GFC0729,GFC0729
I,GFC0718,GFC0718,GFC0719,GFC0719,GFC0720,GFC0720,GFC0721,GFC0721,GFC0722,GFC0722,GFC0723,GFC0723,GFC0724,GFC0724,GFC0725,GFC0725,GFC0726,GFC0726,GFC0727,GFC0727,GFC0728,GFC0728,GFC0729,GFC0729
J,GFC0718,GFC0718,GFC0719,GFC0719,GFC0720,GFC0720,GFC0721,GFC0721,GFC0722,GFC0722,GFC0723,GFC0723,GFC0724,GFC0724,GFC0725,GFC0725,GFC0726,GFC0726,GFC0727,GFC0727,GFC0728,GFC0728,GFC0729,GFC0729
K,GFC0718,GFC0718,GFC0719,GFC0719,GFC0720,GFC0720,GFC0721,GFC0721,GFC0722,GFC0722,GFC0723,GFC0723,GFC0724,GFC0724,GFC0725,GFC0725,GFC0726,GFC0726,GFC0727,GFC0727,GFC0728,GFC0728,GFC0729,GFC0729
L,GFC0718,GFC0718,GFC0719,GFC0719,GFC0720,GFC0720,GFC0721,GFC0721,GFC0722,GFC0722,GFC0723,GFC0723,GFC0724,GFC0724,GFC0725,GFC0725,GFC0726,GFC0726,GFC0727,GFC0727,GFC0728,GFC0728,GFC0729,GFC0729
M,GFC0718,GFC0718,GFC0719,GFC0719,GFC0720,GFC0720,GFC0721,GFC0721,GFC0722,GFC0722,GFC0723,GFC0723,GFC0724,GFC0724,GFC0725,GFC0725,GFC0726,GFC0726,GFC0727,GFC0727,GFC0728,GFC0728,GFC0729,GFC0729
N,GFC0718,GFC0718,GFC0719,GFC0719,GFC0720,GFC0720,GFC0721,GFC0721,GFC0722,GFC0722,GFC0723,GFC0723,GFC0724,GFC0724,GFC0725,GFC0725,GFC0726,GFC0726,GFC0727,GFC0727,GFC0728,GFC0728,GFC0729,GFC0729
O,GFC0718,GFC0718,GFC0719,GFC0719,GFC0720,GFC0720,GFC0721,GFC0721,GFC0722,GFC0722,GFC0723,GFC0723,GFC0724,GFC0724,GFC0725,GFC0725,GFC0726,GFC0726,GFC0727,GFC0727,GFC0728,GFC0728,GFC0729,GFC0729
P,GFC0718,GFC0718,GFC0719,GFC0719,GFC0720,GFC0720,GFC0721,GFC0721,GFC0722,GFC0722,GFC0723,GFC0723,GFC0724,GFC0724,GFC0725,GFC0725,GFC0726,GFC0726,GFC0727,GFC0727,GFC0728,GFC0728,GFC0729,GFC0729
,,,,,,,,,,,,,,,,,,,,,,,,
arabinose,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
C,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
D,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
G,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
H,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
K,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
L,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
O,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
P,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
,,,,,,,,,,,,,,,,,,,,,,,,
antisigma,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS31,Ptet-AS20+Ptet-AS31,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS31,Ptet-AS28+Ptet-AS31,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS28,Ptet-AS31+Ptet-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS31,Ptet-AS20+PpcaU-AS31,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS31,Ptet-AS28+PpcaU-AS31,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS28,Ptet-AS31+PpcaU-AS28
B,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS31,Ptet-AS20+Ptet-AS31,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS31,Ptet-AS28+Ptet-AS31,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS28,Ptet-AS31+Ptet-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS31,Ptet-AS20+PpcaU-AS31,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS31,Ptet-AS28+PpcaU-AS31,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS28,Ptet-AS31+PpcaU-AS28
C,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS31,Ptet-AS20+Ptet-AS31,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS31,Ptet-AS28+Ptet-AS31,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS28,Ptet-AS31+Ptet-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS31,Ptet-AS20+PpcaU-AS31,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS31,Ptet-AS28+PpcaU-AS31,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS28,Ptet-AS31+PpcaU-AS28
D,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS31,Ptet-AS20+Ptet-AS31,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS31,Ptet-AS28+Ptet-AS31,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS28,Ptet-AS31+Ptet-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS31,Ptet-AS20+PpcaU-AS31,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS31,Ptet-AS28+PpcaU-AS31,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS28,Ptet-AS31+PpcaU-AS28
E,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS31,Ptet-AS20+Ptet-AS31,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS31,Ptet-AS28+Ptet-AS31,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS28,Ptet-AS31+Ptet-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS31,Ptet-AS20+PpcaU-AS31,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS31,Ptet-AS28+PpcaU-AS31,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS28,Ptet-AS31+PpcaU-AS28
