strain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,NA,NA,NA,NA,NA,NA,NA,NA,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735
B,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,NA,NA,NA,NA,NA,NA,NA,NA,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735
C,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,NA,NA,NA,NA,NA,NA,NA,NA,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735
D,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,NA,NA,NA,NA,NA,NA,NA,NA,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735
E,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,NA,NA,NA,NA,NA,NA,NA,NA,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735
F,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,NA,NA,NA,NA,NA,NA,NA,NA,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735
G,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,NA,NA,NA,NA,NA,NA,NA,NA,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735
H,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,NA,NA,NA,NA,NA,NA,NA,NA,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735
I,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,NA,NA,NA,NA,NA,NA,NA,NA,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735
J,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,NA,NA,NA,NA,NA,NA,NA,NA,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735
K,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,NA,NA,NA,NA,NA,NA,NA,NA,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735
L,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,NA,NA,NA,NA,NA,NA,NA,NA,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735
M,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,NA,NA,NA,NA,NA,NA,NA,NA,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735
N,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,NA,NA,NA,NA,NA,NA,NA,NA,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735
O,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,NA,NA,NA,NA,NA,NA,NA,NA,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735
P,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,NA,NA,NA,NA,NA,NA,NA,NA,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735
,,,,,,,,,,,,,,,,,,,,,,,,
arabinose,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
B,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,NA,NA,NA,NA,NA,NA,NA,NA,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
C,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,NA,NA,NA,NA,NA,NA,NA,NA,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
D,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,NA,NA,NA,NA,NA,NA,NA,NA,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
E,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
F,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,NA,NA,NA,NA,NA,NA,NA,NA,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
