strain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,GFC0738,GFC0738,GFC0738,GFC0738,GFC0739,GFC0739,GFC0739,GFC0739,GFC0740,GFC0740,GFC0740,GFC0740,GFC0741,GFC0741,GFC0741,GFC0741
B,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,GFC0738,GFC0738,GFC0738,GFC0738,GFC0739,GFC0739,GFC0739,GFC0739,GFC0740,GFC0740,GFC0740,GFC0740,GFC0741,GFC0741,GFC0741,GFC0741
C,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,GFC0738,GFC0738,GFC0738,GFC0738,GFC0739,GFC0739,GFC0739,GFC0739,GFC0740,GFC0740,GFC0740,GFC0740,GFC0741,GFC0741,GFC0741,GFC0741
D,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,GFC0738,GFC0738,GFC0738,GFC0738,GFC0739,GFC0739,GFC0739,GFC0739,GFC0740,GFC0740,GFC0740,GFC0740,GFC0741,GFC0741,GFC0741,GFC0741
E,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,GFC0738,GFC0738,GFC0738,GFC0738,GFC0739,GFC0739,GFC0739,GFC0739,GFC0740,GFC0740,GFC0740,GFC0740,GFC0741,GFC0741,GFC0741,GFC0741
F,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,GFC0738,GFC0738,GFC0738,GFC0738,GFC0739,GFC0739,GFC0739,GFC0739,GFC0740,GFC0740,GFC0740,GFC0740,GFC0741,GFC0741,GFC0741,GFC0741
G,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,GFC0738,GFC0738,GFC0738,GFC0738,GFC0739,GFC0739,GFC0739,GFC0739,GFC0740,GFC0740,GFC0740,GFC0740,GFC0741,GFC0741,GFC0741,GFC0741
H,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,GFC0738,GFC0738,GFC0738,GFC0738,GFC0739,GFC0739,GFC0739,GFC0739,GFC0740,GFC0740,GFC0740,GFC0740,GFC0741,GFC0741,GFC0741,GFC0741
I,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,GFC0738,GFC0738,GFC0738,GFC0738,GFC0739,GFC0739,GFC0739,GFC0739,GFC0740,GFC0740,GFC0740,GFC0740,GFC0741,GFC0741,GFC0741,GFC0741
J,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,GFC0738,GFC0738,GFC0738,GFC0738,GFC0739,GFC0739,GFC0739,GFC0739,GFC0740,GFC0740,GFC0740,GFC0740,GFC0741,GFC0741,GFC0741,GFC0741
K,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,GFC0738,GFC0738,GFC0738,GFC0738,GFC0739,GFC0739,GFC0739,GFC0739,GFC0740,GFC0740,GFC0740,GFC0740,GFC0741,GFC0741,GFC0741,GFC0741
L,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,GFC0738,GFC0738,GFC0738,GFC0738,GFC0739,GFC0739,GFC0739,GFC0739,GFC0740,GFC0740,GFC0740,GFC0740,GFC0741,GFC0741,GFC0741,GFC0741
M,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,GFC0738,GFC0738,GFC0738,GFC0738,GFC0739,GFC0739,GFC0739,GFC0739,GFC0740,GFC0740,GFC0740,GFC0740,GFC0741,GFC0741,GFC0741,GFC0741
N,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,GFC0738,GFC0738,GFC0738,GFC0738,GFC0739,GFC0739,GFC0739,GFC0739,GFC0740,GFC0740,GFC0740,GFC0740,GFC0741,GFC0741,GFC0741,GFC0741
O,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,GFC0738,GFC0738,GFC0738,GFC0738,GFC0739,GFC0739,GFC0739,GFC0739,GFC0740,GFC0740,GFC0740,GFC0740,GFC0741,GFC0741,GFC0741,GFC0741
P,GFC0734,GFC0734,GFC0734,GFC0734,GFC0735,GFC0735,GFC0735,GFC0735,GFC0738,GFC0738,GFC0738,GFC0738,GFC0739,GFC0739,GFC0739,GFC0739,GFC0740,GFC0740,GFC0740,GFC0740,GFC0741,GFC0741,GFC0741,GFC0741
,,,,,,,,,,,,,,,,,,,,,,,,
arabinose,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
C,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
D,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
G,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
H,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
K,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
L,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
O,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
P,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
,,,,,,,,,,,,,,,,,,,,,,,,
antisigma,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
