strain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,GFC0747,GFC0747,GFC0747,GFC0747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,
arabinose,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,0.000025,0.000025,0.000025,0.000025,NA,NA,NA,NA,0.000005,0.000005,0.000005,0.000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,0.0002,0.0002,0.0002,0.0002,NA,NA,NA,NA,0.000025,0.000025,0.000025,0.000025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D,0.0004,0.0004,0.0004,0.0004,NA,NA,NA,NA,0.0002,0.0002,0.0002,0.0002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F,0.000025,0.000025,0.000025,0.000025,NA,NA,NA,NA,0.000005,0.000005,0.000005,0.000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G,0.0002,0.0002,0.0002,0.0002,NA,NA,NA,NA,0.000025,0.000025,0.000025,0.000025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,0.0004,0.0004,0.0004,0.0004,NA,NA,NA,NA,0.0002,0.0002,0.0002,0.0002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J,0.000025,0.000025,0.000025,0.000025,NA,NA,NA,NA,0.000005,0.000005,0.000005,0.000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K,0.0002,0.0002,0.0002,0.0002,NA,NA,NA,NA,0.000025,0.000025,0.000025,0.000025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,0.0004,0.0004,0.0004,0.0004,NA,NA,NA,NA,0.0002,0.0002,0.0002,0.0002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,0.000025,0.000025,0.000025,0.000025,NA,NA,NA,NA,0.000005,0.000005,0.000005,0.000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O,0.0002,0.0002,0.0002,0.0002,NA,NA,NA,NA,0.000025,0.000025,0.000025,0.000025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P,0.0004,0.0004,0.0004,0.0004,NA,NA,NA,NA,0.0002,0.0002,0.0002,0.0002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,
antisigma,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,
aTc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0,0.2,0.5,2.5,NA,NA,NA,NA,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,0,0.2,0.5,2.5,NA,NA,NA,NA,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,0,0.2,0.5,2.5,NA,NA,NA,NA,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D,0,0.2,0.5,2.5,NA,NA,NA,NA,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E,0,0.2,0.5,2.5,NA,NA,NA,NA,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F,0,0.2,0.5,2.5,NA,NA,NA,NA,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G,0,0.2,0.5,2.5,NA,NA,NA,NA,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
