strain,antisigma,arabinose,aTc,DHBA,lum_blank_mean,lum_blank_sd
GFC0734,AS20_t2+PpcaU-AS22_t,0,0,0,26108.146192128515,7713.36079574484
GFC0734,AS20_t2+PpcaU-AS22_t,0,2.5,0,17335.783696061713,23806.17912788285
GFC0735,AS22_t+PpcaU-AS20_t2,0,0,0,37505.954723893505,6314.143887482357
GFC0735,AS22_t+PpcaU-AS20_t2,0,2.5,0,27751.11624473565,9787.16489247411
GFC0734,AS20_t2+PpcaU-AS22_t,5e-6,0,0,55406.638147157675,28868.94841326585
GFC0734,AS20_t2+PpcaU-AS22_t,5e-6,2.5,0,28253.454324008264,42803.28788910761
GFC0735,AS22_t+PpcaU-AS20_t2,5e-6,0,0,43835.58844373947,24670.14387509585
GFC0735,AS22_t+PpcaU-AS20_t2,5e-6,2.5,0,25517.954023052855,15092.426348526602
GFC0734,AS20_t2+PpcaU-AS22_t,2.5e-5,0,0,59248.01774314782,32390.268366803935
GFC0734,AS20_t2+PpcaU-AS22_t,2.5e-5,2.5,0,27636.390984618432,25585.66594740582
GFC0735,AS22_t+PpcaU-AS20_t2,2.5e-5,0,0,35920.86539707817,14612.613538619895
GFC0735,AS22_t+PpcaU-AS20_t2,2.5e-5,2.5,0,34660.33982146626,11648.286225460579
GFC0734,AS20_t2+PpcaU-AS22_t,2e-4,0,0,58375.719177870786,30013.927671796446
GFC0734,AS20_t2+PpcaU-AS22_t,2e-4,2.5,0,30982.805907658047,14726.824673660289
GFC0735,AS22_t+PpcaU-AS20_t2,2e-4,0,0,27719.741450362108,5825.178134514904
GFC0735,AS22_t+PpcaU-AS20_t2,2e-4,2.5,0,35671.342097684596,14801.138339308196
GFC0734,AS20_t2+PpcaU-AS22_t,0,0,250,24554.209650930847,11554.633936433787
GFC0734,AS20_t2+PpcaU-AS22_t,0,2.5,250,7035.509548669321,5991.490128837336
GFC0735,AS22_t+PpcaU-AS20_t2,0,0,250,15044.670170415062,6561.89897381428
GFC0735,AS22_t+PpcaU-AS20_t2,0,2.5,250,10779.39351029948,4065.7315797376177
GFC0734,AS20_t2+PpcaU-AS22_t,5e-6,0,250,46415.51260569983,24455.123099993045
GFC0734,AS20_t2+PpcaU-AS22_t,5e-6,2.5,250,18196.680470556963,22305.568306368972
GFC0735,AS22_t+PpcaU-AS20_t2,5e-6,0,250,28323.417133417097,11777.71450242586
GFC0735,AS22_t+PpcaU-AS20_t2,5e-6,2.5,250,21664.502989067074,11997.583238802783
GFC0734,AS20_t2+PpcaU-AS22_t,2.5e-5,0,250,49079.093611307006,29680.110077432735
GFC0734,AS20_t2+PpcaU-AS22_t,2.5e-5,2.5,250,34658.93388057293,37088.90456691523
GFC0735,AS22_t+PpcaU-AS20_t2,2.5e-5,0,250,36430.81749992519,23637.882936842838
GFC0735,AS22_t+PpcaU-AS20_t2,2.5e-5,2.5,250,33415.44775819716,13444.57296698989
GFC0734,AS20_t2+PpcaU-AS22_t,2e-4,0,250,47671.825095219894,21088.50020368373
GFC0734,AS20_t2+PpcaU-AS22_t,2e-4,2.5,250,40722.186065918664,26395.811837720394
GFC0735,AS22_t+PpcaU-AS20_t2,2e-4,0,250,47846.20491169546,10035.010972989441
GFC0735,AS22_t+PpcaU-AS20_t2,2e-4,2.5,250,51417.639389225245,10335.329295807764
GFC0738,AS20_t2+PpcaU-AS28_t1,0,0,0,434.09777623619834,133.9472620288451
GFC0738,AS20_t2+PpcaU-AS28_t1,0,2.5,0,312.8734236554532,156.78870551413118
GFC0739,AS20_t2+PpcaU-AS31_t1,0,0,0,203.7749010051416,65.34095276843
