strain,copy,promoter,concentration,lum_blank_mean,lum_blank_sd
GFC0509,chrint,Pbad,0,1.9574132472180488,1.0294573757065844
GFC0509,chrint,Pbad,1e-6,6.9672952415235265,4.475078509111027
GFC0509,chrint,Pbad,2.5e-5,1643.863644988815,15.874354061458979
GFC0509,chrint,Pbad,5e-5,3530.613981428587,119.27829419089069
GFC0509,chrint,Pbad,1e-4,5721.860939412296,151.06843057389608
GFC0509,chrint,Pbad,2e-4,7747.193096567518,264.85285333670043
GFC0509,chrint,Pbad,5e-4,9240.990025458725,613.8028994303567
GFC0509,chrint,Pbad,0.002,10465.069381935215,715.2621310636971
GFC0509,chrint,Pbad,0.005,10280.441686887145,359.8506789806828
GFC0509,chrint,Pbad,0.01,10673.782507847143,840.5244120099203
GFC0509,chrint,Pbad,0.02,10331.511803157115,985.9808962953066
GFC0509,chrint,Pbad,0.2,11338.346477136758,431.77895767813345
GFC0310,chrint,Ptet,0,30.45133623440013,3.1892864556152767
GFC0310,chrint,Ptet,0.01,72.30685014236015,14.860075482905268
GFC0310,chrint,Ptet,0.03,706.7930954935692,684.703640279537
GFC0310,chrint,Ptet,0.05,471.88626239641883,37.27473546510368
GFC0310,chrint,Ptet,0.1,4328.952970481507,278.9171568538134
GFC0310,chrint,Ptet,0.3,6223.528965149332,1176.4774763073117
GFC0310,chrint,Ptet,0.5,8252.600404878482,2258.0741037979633
GFC0310,chrint,Ptet,1,10525.751902012587,15.056517210172345
GFC0310,chrint,Ptet,10,12238.632601494854,419.8213504618188
GFC0310,chrint,Ptet,25,13393.149403084844,575.0430270001534
GFC0310,chrint,Ptet,50,15241.469092196654,495.59121709549646
GFC0310,chrint,Ptet,100,12612.787222967609,608.6592327609741
GFC0699,chrint,PpcaU,0,149.41312755854162,8.624443378392204
GFC0699,chrint,PpcaU,12.5,155.49868555628373,7.06940571769125
GFC0699,chrint,PpcaU,25,155.34431495665166,3.6265289160410767
GFC0699,chrint,PpcaU,50,170.62768428559872,7.250916129314413
GFC0699,chrint,PpcaU,125,244.22878165093064,19.54787141149666
GFC0699,chrint,PpcaU,150,261.0898971129001,13.90358068118716
GFC0699,chrint,PpcaU,250,466.8584263857657,42.1343357097629
GFC0699,chrint,PpcaU,500,1175.2926574345481,51.539356036547716
GFC0699,chrint,PpcaU,1000,2573.9802675328992,372.67248757068216
GFC0699,chrint,PpcaU,1250,3165.7476788642266,237.9705873464147
GFC0699,chrint,PpcaU,2500,4616.586060132804,687.7994101322244
GFC0699,chrint,PpcaU,5000,5159.296121797258,732.3083036733057
GFC0153,plasmid,Pbad,0,68.41442833030528,6.9634468843893025
GFC0153,plasmid,Pbad,1e-6,237.62405176072224,15.38546821540976
GFC0153,plasmid,Pbad,2.5e-5,16422.093523433057,2357.446541932358
GFC0153,plasmid,Pbad,5e-5,53612.17990657502,2905.633967833135
GFC0153,plasmid,Pbad,1e-4,97649.3218749435,1567.3269756285767
GFC0153,plasmid,Pbad,2e-4,95262.08112260149,6672.620546837867
GFC0153,plasmid,Pbad,5e-4,88859.0445922402,1285.202003629928
GFC0153,plasmid,Pbad,0.002,81087.85939775754,19.984641995894844
GFC0153,plasmid,Pbad,0.005,77485.17672315854,3114.948754630106
GFC0153,plasmid,Pbad,0.01,76428.82992745435,464.59713875404236
GFC0153,plasmid,Pbad,0.02,77017.37965850107,2794.8055605215054
GFC0153,plasmid,Pbad,0.2,77482.1492463982,2133.780392827616
GFC0200,plasmid,Ptet,0,113.36359132225658,6.104331782312134
GFC0200,plasmid,Ptet,0.01,136.53344762051114,12.43442881840615
GFC0200,plasmid,Ptet,0.03,366.25031338415897,170.76078512787737
GFC0200,plasmid,Ptet,0.05,789.1802680926426,575.5187061993261
GFC0200,plasmid,Ptet,0.1,2214.762381678481,521.4169042456716
GFC0200,plasmid,Ptet,0.3,2739.2696454170373,802.5302267558864
GFC0200,plasmid,Ptet,0.5,5452.499520978642,3887.2712589303997
GFC0200,plasmid,Ptet,1,22490.10548933036,1511.3528361219458
GFC0200,plasmid,Ptet,10,98290.75836244356,3289.6404012237795
GFC0200,plasmid,Ptet,25,100148.44994881834,5093.106633403979
GFC0200,plasmid,Ptet,50,114103.5018774131,5204.484910663537
GFC0200,plasmid,Ptet,100,114551.80311351694,3740.4691636479783
GFC0698,plasmid,PpcaU,0,199.76333283096193,18.33300689539871
GFC0698,plasmid,PpcaU,12.5,268.6821280264872,9.729549776143566
GFC0698,plasmid,PpcaU,25,440.3630634967541,24.675983135343714
GFC0698,plasmid,PpcaU,50,949.9451985454796,66.80822682510076
GFC0698,plasmid,PpcaU,125,2763.2050126346467,178.8085253834509
GFC0698,plasmid,PpcaU,150,3219.032807962936,174.828997007386
GFC0698,plasmid,PpcaU,250,5537.588639108987,849.3146864046475
GFC0698,plasmid,PpcaU,500,9498.539390886703,1518.816578715543
GFC0698,plasmid,PpcaU,1000,16860.19726227693,1620.960837640501
GFC0698,plasmid,PpcaU,1250,17903.75236619116,1953.2819806827292
GFC0698,plasmid,PpcaU,2500,18133.233723573976,1179.7220112548487
GFC0698,plasmid,PpcaU,5000,18149.061207097904,279.5425032903126
